absolute_spectral_error,absolute_tolerance_for_near_zero_targets,component,configuration_sha256,degree,evidence_label,polynomial,relative_spectral_error,shape,spectrum,status,tolerance
6.377578419412159e-14,1e-12,imag,db67f79cce4b0a67c78530c0a2a185b729f9d7a2ea6baf40ab50325266a13189,7,EXECUTED_STATEVECTOR,ridge_degree_7,1.0539640727413484e-13,4x2,moderately_conditioned,pass,1e-08
8.711658659255834e-15,1e-12,imag,db67f79cce4b0a67c78530c0a2a185b729f9d7a2ea6baf40ab50325266a13189,31,EXECUTED_STATEVECTOR,ridge_degree_31,1.7423805968301647e-14,4x2,moderately_conditioned,pass,1e-08
1.4563005974707928e-14,1e-12,imag,db67f79cce4b0a67c78530c0a2a185b729f9d7a2ea6baf40ab50325266a13189,255,EXECUTED_STATEVECTOR,ridge_degree_255_repaired,7.488431824081239e-14,4x2,moderately_conditioned,pass,1e-08
1.3065310358555836e-13,1e-12,neg_imag,db67f79cce4b0a67c78530c0a2a185b729f9d7a2ea6baf40ab50325266a13189,1,EXECUTED_STATEVECTOR,identity,1.3752958272164037e-13,4x2,nearly_rank_deficient,pass,1e-08
1.2086247837642998e-13,1e-12,imag,db67f79cce4b0a67c78530c0a2a185b729f9d7a2ea6baf40ab50325266a13189,3,EXECUTED_STATEVECTOR,cubic,1.4096804592672983e-13,4x2,nearly_rank_deficient,pass,1e-08
6.371096000766915e-14,1e-12,imag,db67f79cce4b0a67c78530c0a2a185b729f9d7a2ea6baf40ab50325266a13189,7,EXECUTED_STATEVECTOR,ridge_degree_7,3.860654575296944e-13,4x2,nearly_rank_deficient,pass,1e-08
4.954734116291271e-16,1e-12,imag,db67f79cce4b0a67c78530c0a2a185b729f9d7a2ea6baf40ab50325266a13189,31,EXECUTED_STATEVECTOR,ridge_degree_31,1.9616776579735043e-15,4x2,nearly_rank_deficient,pass,1e-08
3.2363956014565495e-15,1e-12,imag,db67f79cce4b0a67c78530c0a2a185b729f9d7a2ea6baf40ab50325266a13189,255,EXECUTED_STATEVECTOR,ridge_degree_255_repaired,1.318041148884349e-13,4x2,nearly_rank_deficient,pass,1e-08
7.569067123860147e-14,1e-12,neg_imag,db67f79cce4b0a67c78530c0a2a185b729f9d7a2ea6baf40ab50325266a13189,1,EXECUTED_STATEVECTOR,identity,1.3761940225200266e-13,4x2,repeated_singular_values,pass,1e-08
3.394177653038659e-14,1e-12,imag,db67f79cce4b0a67c78530c0a2a185b729f9d7a2ea6baf40ab50325266a13189,3,EXECUTED_STATEVECTOR,cubic,2.0400767260938588e-13,4x2,repeated_singular_values,pass,1e-08
4.613167900830339e-15,1e-12,imag,db67f79cce4b0a67c78530c0a2a185b729f9d7a2ea6baf40ab50325266a13189,7,EXECUTED_STATEVECTOR,ridge_degree_7,3.0751134966814356e-14,4x2,repeated_singular_values,pass,1e-08
1.3363742171544642e-15,1e-12,imag,db67f79cce4b0a67c78530c0a2a185b729f9d7a2ea6baf40ab50325266a13189,31,EXECUTED_STATEVECTOR,ridge_degree_31,2.1602620501540294e-14,4x2,repeated_singular_values,pass,1e-08
6.8567537969119495e-16,1e-12,imag,db67f79cce4b0a67c78530c0a2a185b729f9d7a2ea6baf40ab50325266a13189,255,EXECUTED_STATEVECTOR,ridge_degree_255_repaired,1.6155153850780705e-14,4x2,repeated_singular_values,pass,1e-08
3.4384154147020345e-14,1e-12,neg_imag,db67f79cce4b0a67c78530c0a2a185b729f9d7a2ea6baf40ab50325266a13189,1,EXECUTED_STATEVECTOR,identity,1.3753661658808136e-13,4x2,zero_singular_values,pass,1e-08
8.986212375771917e-15,1e-12,imag,db67f79cce4b0a67c78530c0a2a185b729f9d7a2ea6baf40ab50325266a13189,3,EXECUTED_STATEVECTOR,cubic,5.751175920494027e-13,4x2,zero_singular_values,pass,1e-08
1.2127461542791475e-15,1e-12,imag,db67f79cce4b0a67c78530c0a2a185b729f9d7a2ea6baf40ab50325266a13189,7,EXECUTED_STATEVECTOR,ridge_degree_7,1.3809871924271567e-15,4x2,zero_singular_values,pass,1e-08
8.114527699480592e-16,1e-12,imag,db67f79cce4b0a67c78530c0a2a185b729f9d7a2ea6baf40ab50325266a13189,31,EXECUTED_STATEVECTOR,ridge_degree_31,2.2868805572430354e-15,4x2,zero_singular_values,pass,1e-08
7.308343652951346e-16,1e-12,imag,db67f79cce4b0a67c78530c0a2a185b729f9d7a2ea6baf40ab50325266a13189,255,EXECUTED_STATEVECTOR,ridge_degree_255_repaired,7.819890718321363e-15,4x2,zero_singular_values,pass,1e-08
1.3075001769463917e-13,1e-12,neg_imag,db67f79cce4b0a67c78530c0a2a185b729f9d7a2ea6baf40ab50325266a13189,1,EXECUTED_STATEVECTOR,identity,1.3763159757330447e-13,4x3,well_conditioned,pass,1e-08
1.2116982896582647e-13,1e-12,imag,db67f79cce4b0a67c78530c0a2a185b729f9d7a2ea6baf40ab50325266a13189,3,EXECUTED_STATEVECTOR,cubic,1.4132652452640502e-13,4x3,well_conditioned,pass,1e-08
6.065994871101232e-14,1e-12,imag,db67f79cce4b0a67c78530c0a2a185b729f9d7a2ea6baf40ab50325266a13189,7,EXECUTED_STATEVECTOR,ridge_degree_7,2.1324833741416832e-13,4x3,well_conditioned,pass,1e-08
1.6451788828738134e-15,1e-12,imag,db67f79cce4b0a67c78530c0a2a185b729f9d7a2ea6baf40ab50325266a13189,31,EXECUTED_STATEVECTOR,ridge_degree_31,5.950506901316399e-15,4x3,well_conditioned,pass,1e-08
3.985381843925381e-15,1e-12,imag,db67f79cce4b0a67c78530c0a2a185b729f9d7a2ea6baf40ab50325266a13189,255,EXECUTED_STATEVECTOR,ridge_degree_255_repaired,7.686818173918202e-14,4x3,well_conditioned,pass,1e-08
1.3068425424153107e-13,1e-12,neg_imag,db67f79cce4b0a67c78530c0a2a185b729f9d7a2ea6baf40ab50325266a13189,1,EXECUTED_STATEVECTOR,identity,1.3756237288582213e-13,4x3,moderately_conditioned,pass,1e-08
