configuration_id,chain_type,functional_id,shots_attempted,direct_postselection_shots_attempted,seed,backend,postselection_accepted,readout_accepted,measured_postselection_probability,interference_acceptance_probability,inferred_postselection_probability_from_branch,branch_probability,quadrature,quadrature_probability,readout_sign_mean_accepted,signed_overlap_estimate,selected_output_estimate,absolute_error_vs_quantized_ridge,relative_error_vs_quantized_ridge,absolute_error_vs_statevector,analytic_standard_error,statevector_expected_standard_error,confidence_interval_lower,confidence_interval_upper,statevector_reference,quantized_ridge_reference,statevector_postselection_probability,physical_recovery_scale,output_state_used_for_preparation
ieee14_sparse_quantized_8x8_d31_selected_v1,sparse,coordinate_e0,100000,100000,0,qiskit_aer_statevector_actual_shot_sampling,61039,80568,0.61039,0.80568,0.6113599999999999,0.5,real,1.0,0.252755436401549,0.20364,0.0024782655883162936,6.550564444601e-06,0.002650210231088939,7.054152490432869e-06,3.364273770189517e-05,3.362241102348556e-05,0.0024123270340792513,0.002544204142553336,0.0024712114358258607,0.0024717150238716926,0.6090421558900074,0.012169836909822696,False
ieee14_sparse_quantized_8x8_d31_selected_v1,sparse,coordinate_e0,100000,100000,1,qiskit_aer_statevector_actual_shot_sampling,60824,80447,0.60824,0.80447,0.60894,0.5,real,1.0,0.2506122043084267,0.20161,0.0024535608193893537,1.8154204482338874e-05,0.0073447805701735555,1.7650616436507005e-05,3.3634210660255424e-05,3.362241102348556e-05,0.00238763897784682,0.0025194826609318873,0.0024712114358258607,0.0024717150238716926,0.6090421558900074,0.012169836909822696,False
ieee14_sparse_quantized_8x8_d31_selected_v1,sparse,coordinate_e0,100000,100000,2,qiskit_aer_statevector_actual_shot_sampling,60939,80327,0.60939,0.80327,0.6065400000000001,0.5,real,1.0,0.25521929114743486,0.20501,0.002494938264882751,2.32232410110585e-05,0.009395598111744142,2.372682905689037e-05,3.3577303421540017e-05,3.362241102348556e-05,0.002429127959478559,0.002560748570286943,0.0024712114358258607,0.0024717150238716926,0.6090421558900074,0.012169836909822696,False
ieee14_sparse_quantized_8x8_d31_selected_v1,sparse,coordinate_e0,100000,100000,3,qiskit_aer_statevector_actual_shot_sampling,60910,80400,0.6091,0.804,0.6080000000000001,0.5,real,1.0,0.2538557213930348,0.2041,0.0024838637132948123,1.2148689423119741e-05,0.004915084993936738,1.265227746895161e-05,3.360160488797675e-05,3.362241102348556e-05,0.002418005777891633,0.0025497216486979916,0.0024712114358258607,0.0024717150238716926,0.6090421558900074,0.012169836909822696,False
ieee14_sparse_quantized_8x8_d31_selected_v1,sparse,coordinate_e0,100000,100000,4,qiskit_aer_statevector_actual_shot_sampling,60896,80497,0.60896,0.80497,0.6099399999999999,0.5,real,1.0,0.2547051442910916,0.20503,0.0024951816616209472,2.3466637749254646e-05,0.009494070927520002,2.3970225795086515e-05,3.361459419790797e-05,3.362241102348556e-05,0.0024292982676381186,0.002561065055603776,0.0024712114358258607,0.0024717150238716926,0.6090421558900074,0.012169836909822696,False
ieee14_sparse_quantized_8x8_d31_selected_v1,sparse,coordinate_e0,100000,100000,5,qiskit_aer_statevector_actual_shot_sampling,61072,80451,0.61072,0.80451,0.6090199999999999,0.5,real,1.0,0.2537569452213148,0.20415,0.0024844722051403033,1.2757181268610758e-05,0.0051612670333766545,1.3260769314442627e-05,3.361239286742142e-05,3.362241102348556e-05,0.002418593125685946,0.0025503512845946605,0.0024712114358258607,0.0024717150238716926,0.6090421558900074,0.012169836909822696,False
ieee14_sparse_quantized_8x8_d31_selected_v1,sparse,coordinate_e0,100000,100000,6,qiskit_aer_statevector_actual_shot_sampling,60762,80401,0.60762,0.80401,0.60802,0.5,real,1.0,0.24946207136727155,0.20057,0.002440904189003138,3.0810834868554536e-05,0.01246536699052485,3.0307246822722667e-05,3.363329181635423e-05,3.362241102348556e-05,0.002374984148361558,0.002506824229644718,0.0024712114358258607,0.0024717150238716926,0.6090421558900074,0.012169836909822696,False
ieee14_sparse_quantized_8x8_d31_selected_v1,sparse,coordinate_e0,100000,100000,7,qiskit_aer_statevector_actual_shot_sampling,61083,80515,0.61083,0.80515,0.6103000000000001,0.5,real,1.0,0.25931813947711607,0.20879,0.002540940248401881,6.92252245301883e-05,0.02800696029340549,6.972881257602016e-05,3.3584268247948745e-05,3.362241102348556e-05,0.002475116292188769,0.0026067642046149926,0.0024712114358258607,0.0024717150238716926,0.6090421558900074,0.012169836909822696,False
ieee14_sparse_quantized_8x8_d31_selected_v1,sparse,coordinate_e0,100000,100000,8,qiskit_aer_statevector_actual_shot_sampling,61147,80275,0.61147,0.80275,0.6054999999999999,0.5,real,1.0,0.25819993771410776,0.20727,0.0025224420962989503,5.0727072427257745e-05,0.020523026294430535,5.1230660473089613e-05,3.354527071865681e-05,3.362241102348556e-05,0.002456694573838737,0.0025881896187591636,0.0024712114358258607,0.0024717150238716926,0.6090421558900074,0.012169836909822696,False
ieee14_sparse_quantized_8x8_d31_selected_v1,sparse,coordinate_e0,100000,100000,9,qiskit_aer_statevector_actual_shot_sampling,60718,80477,0.60718,0.80477,0.60954,0.5,real,1.0,0.2505684854057681,0.20165,0.0024540476128657464,1.7667411005946147e-05,0.0071478349386216574,1.716382296011428e-05,3.364046003864958e-05,3.362241102348556e-05,0.0023881135227666345,0.0025199817029648583,0.0024712114358258607,0.0024717150238716926,0.6090421558900074,0.012169836909822696,False
ieee14_sparse_quantized_8x8_d31_selected_v1,sparse,coordinate_e0,1000000,1000000,0,qiskit_aer_statevector_actual_shot_sampling,609385,805164,0.609385,0.805164,0.610328,0.5,real,1.0,0.25203809410256794,0.202932,0.0024696493437841396,2.065680087552993e-06,0.0008357274473807717,1.5620920417211241e-06,1.0637179621908186e-05,1.0632339926056744e-05,0.002448800854828116,0.0024904978327401632,0.0024712114358258607,0.0024717150238716926,0.6090421558900074,0.012169836909822696,False
ieee14_sparse_quantized_8x8_d31_selected_v1,sparse,coordinate_e0,1000000,1000000,1,qiskit_aer_statevector_actual_shot_sampling,609159,804277,0.609159,0.804277,0.608554,0.5,real,1.0,0.2521805298423304,0.202823,0.0024683228315609687,3.3921923107238343e-06,0.001372404293359963,2.8886042648919655e-06,1.0631310902984254e-05,1.0632339926056744e-05,0.0024474858450826715,0.002489159818039266,0.0024712114358258607,0.0024717150238716926,0.6090421558900074,0.012169836909822696,False
ieee14_sparse_quantized_8x8_d31_selected_v1,sparse,coordinate_e0,1000000,1000000,2,qiskit_aer_statevector_actual_shot_sampling,608694,804285,0.608694,0.804285,0.60857,0.5,real,1.0,0.2525957838328453,0.203159,0.002472411896762669,6.968728909766304e-07,0.00028193901167661685,1.2004609368084992e-06,1.0630416424999857e-05,1.0632339926056744e-05,0.0024515766634290066,0.002493247130096332,0.0024712114358258607,0.0024717150238716926,0.6090421558900074,0.012169836909822696,False
ieee14_sparse_quantized_8x8_d31_selected_v1,sparse,coordinate_e0,1000000,1000000,3,qiskit_aer_statevector_actual_shot_sampling,608791,804169,0.608791,0.804169,0.608338,0.5,real,1.0,0.252570044356348,0.203109,0.002471803404917178,8.838104548561376e-08,3.5756972236699745e-05,5.919690913174826e-07,1.062974984238446e-05,1.0632339926056744e-05,0.0024509694780614345,0.002492637331772922,0.0024712114358258607,0.0024717150238716926,0.6090421558900074,0.012169836909822696,False
ieee14_sparse_quantized_8x8_d31_selected_v1,sparse,coordinate_e0,1000000,1000000,4,qiskit_aer_statevector_actual_shot_sampling,609252,804536,0.609252,0.804536,0.6090720000000001,0.5,real,1.0,0.2522994620501755,0.202984,0.00247028217530345,1.4328485682425784e-06,0.0005796981263633562,9.292605224107096e-07,1.0632659792736326e-05,1.0632339926056744e-05,0.0024494425450498195,0.0024911218055570805,0.0024712114358258607,0.0024717150238716926,0.6090421558900074,0.012169836909822696,False
ieee14_sparse_quantized_8x8_d31_selected_v1,sparse,coordinate_e0,1000000,1000000,5,qiskit_aer_statevector_actual_shot_sampling,608802,804785,0.608802,0.804785,0.60957,0.5,real,1.0,0.2515044390737899,0.202407,0.0024632601794064824,8.454844465210186e-06,0.0034206388615005156,7.951256419378317e-06,1.0636022551213236e-05,1.0632339926056744e-05,0.0024424139582673488,0.002484106400545616,0.0024712114358258607,0.0024717150238716926,0.6090421558900074,0.012169836909822696,False
ieee14_sparse_quantized_8x8_d31_selected_v1,sparse,coordinate_e0,1000000,1000000,6,qiskit_aer_statevector_actual_shot_sampling,608976,804495,0.608976,0.804495,0.6089899999999999,0.5,real,1.0,0.2520251835002082,0.202753,0.002467470942977281,4.244080894411431e-06,0.0017170591485759171,3.7404928485795623e-06,1.0633026997854823e-05,1.0632339926056744e-05,0.002446630593014844,0.0024883112929397185,0.0024712114358258607,0.0024717150238716926,0.6090421558900074,0.012169836909822696,False
ieee14_sparse_quantized_8x8_d31_selected_v1,sparse,coordinate_e0,1000000,1000000,7,qiskit_aer_statevector_actual_shot_sampling,609584,804757,0.609584,0.804757,0.6095139999999999,0.5,real,1.0,0.2541077617218614,0.204495,0.002488670798874192,1.6955775002499597e-05,0.006859923105512416,1.7459363048331466e-05,1.0629910495302655e-05,1.0632339926056744e-05,0.0024678365571445147,0.0025095050406038696,0.0024712114358258607,0.0024717150238716926,0.6090421558900074,0.012169836909822696,False
ieee14_sparse_quantized_8x8_d31_selected_v1,sparse,coordinate_e0,1000000,1000000,8,qiskit_aer_statevector_actual_shot_sampling,609620,804127,0.60962,0.804127,0.6082540000000001,0.5,real,1.0,0.25435658795190313,0.204535,0.002489157592350585,1.7442568478892324e-05,0.007056868737064315,1.7946156524724192e-05,1.0625406714926197e-05,1.0632339926056744e-05,0.0024683321778682394,0.0025099830068329304,0.0024712114358258607,0.0024717150238716926,0.6090421558900074,0.012169836909822696,False
ieee14_sparse_quantized_8x8_d31_selected_v1,sparse,coordinate_e0,1000000,1000000,9,qiskit_aer_statevector_actual_shot_sampling,608919,804643,0.608919,0.804643,0.609286,0.5,real,1.0,0.2526549041003277,0.203297,0.0024740913342562246,2.3763103845319926e-06,0.0009614014405308512,2.8798984303638614e-06,1.0632519343551929e-05,1.0632339926056744e-05,0.0024532519792779374,0.0024949306892345117,0.0024712114358258607,0.0024717150238716926,0.6090421558900074,0.012169836909822696,False
ieee14_sparse_quantized_8x8_d31_selected_v1,sparse,signed_difference_e0_minus_e1,10000,10000,0,qiskit_aer_statevector_actual_shot_sampling,6096,8054,0.6096,0.8054,0.6108,0.5,real,1.0,0.517506828904892,0.4168,0.0050723880240140995,1.0407843482466636e-05,0.002047661120727404,1.0512817576058785e-05,9.672362208240947e-05,9.66010648483436e-05,0.004882813208278314,0.005261962839749885,0.005082900841590158,0.005082795867496566,0.6090421558900074,0.012169836909822694,False
ieee14_sparse_quantized_8x8_d31_selected_v1,sparse,signed_difference_e0_minus_e1,10000,10000,1,qiskit_aer_statevector_actual_shot_sampling,6135,8050,0.6135,0.805,0.6100000000000001,0.5,real,1.0,0.5272049689440994,0.4244,0.005164878784528751,8.208291703218525e-05,0.016149166555573993,8.19779429385931e-05,9.62021289382566e-05,9.66010648483436e-05,0.00497632607657369,0.005353431492483813,0.005082900841590158,0.005082795867496566,0.6090421558900074,0.012169836909822694,False
ieee14_sparse_quantized_8x8_d31_selected_v1,sparse,signed_difference_e0_minus_e1,10000,10000,2,qiskit_aer_statevector_actual_shot_sampling,6121,8066,0.6121,0.8066,0.6132,0.5,real,1.0,0.5219439623109348,0.421,0.005123501339035354,4.0705471538788306e-05,0.008008480489860201,4.060049744519616e-05,9.654593253937023e-05,9.66010648483436e-05,0.0049342747884043555,0.005312727889666353,0.005082900841590158,0.005082795867496566,0.6090421558900074,0.012169836909822694,False
ieee14_sparse_quantized_8x8_d31_selected_v1,sparse,signed_difference_e0_minus_e1,10000,10000,3,qiskit_aer_statevector_actual_shot_sampling,6113,8061,0.6113,0.8061,0.6122000000000001,0.5,real,1.0,0.5223917628085846,0.4211,0.0051247183227263364,4.192245522977034e-05,0.008247912432969386,4.181748113617819e-05,9.650111217886065e-05,9.66010648483436e-05,0.00493557961838771,0.005313857027064963,0.005082900841590158,0.005082795867496566,0.6090421558900074,0.012169836909822694,False
ieee14_sparse_quantized_8x8_d31_selected_v1,sparse,signed_difference_e0_minus_e1,10000,10000,4,qiskit_aer_statevector_actual_shot_sampling,6050,8005,0.605,0.8005,0.601,0.5,real,1.0,0.5163023110555902,0.4133,0.00502979359482972,5.300227266684648e-05,0.01042777912955055,5.3107246760438626e-05,9.657078915902157e-05,9.66010648483436e-05,0.004840518326119426,0.005219068863540013,0.005082900841590158,0.005082795867496566,0.6090421558900074,0.012169836909822694,False
ieee14_sparse_quantized_8x8_d31_selected_v1,sparse,signed_difference_e0_minus_e1,10000,10000,5,qiskit_aer_statevector_actual_shot_sampling,6060,8061,0.606,0.8061,0.6122000000000001,0.5,real,1.0,0.508001488649051,0.4095,0.004983548214572393,9.924765292417329e-05,0.01952619296770142,9.935262701776543e-05,9.723766327811967e-05,9.66010648483436e-05,0.004792965896606445,0.0051741305325383406,0.005082900841590158,0.005082795867496566,0.6090421558900074,0.012169836909822694,False
