bootstrap_sample,structural_group_count,median_paired_difference_sensitivity_minus_magnitude,mean_paired_difference_sensitivity_minus_magnitude,resampling_unit,bootstrap_mode,bootstrap_seed
292,12,0.0,-0.06771284915356152,structural_group,unstratified,8675309
293,12,0.0,-0.06185417821481872,structural_group,unstratified,8675309
294,12,0.0,-0.0009454613891307697,structural_group,unstratified,8675309
295,12,-0.00032093672392834866,-0.0047008168394705565,structural_group,unstratified,8675309
296,12,-0.021288940384876134,-0.07078976559704968,structural_group,unstratified,8675309
297,12,-0.03190181503291841,-0.1298470634179053,structural_group,unstratified,8675309
298,12,-0.010676065736833856,-0.12481206245065203,structural_group,unstratified,8675309
299,12,-0.010676065736833856,-0.07050135721500465,structural_group,unstratified,8675309
300,12,-0.00032093672392834866,-0.05900457596574549,structural_group,unstratified,8675309
301,12,-0.00032093672392834866,-0.06146457247767325,structural_group,unstratified,8675309
302,12,0.0,-0.054091442476459695,structural_group,unstratified,8675309
303,12,0.0,-0.11831983728204858,structural_group,unstratified,8675309
304,12,-0.008461049547044103,-0.06767121379456247,structural_group,unstratified,8675309
305,12,-0.036226347372473364,-0.0820382715397892,structural_group,unstratified,8675309
306,12,-0.008461049547044103,-0.11492385762524626,structural_group,unstratified,8675309
307,12,-0.016271844240387554,-0.07432694180013245,structural_group,unstratified,8675309
308,12,-0.005658969592345277,-0.07255812935879208,structural_group,unstratified,8675309
309,12,-0.00032093672392834866,-0.012193176215386617,structural_group,unstratified,8675309
310,12,-0.005658969592345277,-0.17245193757395785,structural_group,unstratified,8675309
311,12,-0.010676065736833856,-0.06870527324473238,structural_group,unstratified,8675309
312,12,-0.021288940384876134,-0.12111996709400356,structural_group,unstratified,8675309
313,12,0.0,-0.012136862231067797,structural_group,unstratified,8675309
314,12,0.0,-0.06251360707263727,structural_group,unstratified,8675309
315,12,-0.03190181503291841,-0.18297044861744174,structural_group,unstratified,8675309
316,12,-0.00032093672392834866,-0.011953581646190306,structural_group,unstratified,8675309
317,12,-0.036226347372473364,-0.17702362190680854,structural_group,unstratified,8675309
318,12,-0.0031230166786271746,-0.07285622592976489,structural_group,unstratified,8675309
319,12,-0.008461049547044103,-0.11248777924796811,structural_group,unstratified,8675309
320,12,0.0,-0.06819683450462179,structural_group,unstratified,8675309
321,12,0.0,-0.054445404352153365,structural_group,unstratified,8675309
322,12,0.0,-0.06713648106906944,structural_group,unstratified,8675309
323,12,-0.006246033357254349,-0.0693448189721403,structural_group,unstratified,8675309
324,12,0.0,-0.00984754700995622,structural_group,unstratified,8675309
325,12,-0.00032093672392834866,-0.1128846987295179,structural_group,unstratified,8675309
326,12,-0.0006418734478566973,-0.06758305802267209,structural_group,unstratified,8675309
327,12,-0.021288940384876134,-0.07555146028902952,structural_group,unstratified,8675309
328,12,-0.0031230166786271746,-0.06550701406320097,structural_group,unstratified,8675309
329,12,-0.0006418734478566973,-0.013020910513288556,structural_group,unstratified,8675309
330,12,-0.005658969592345277,-0.06156661349197783,structural_group,unstratified,8675309
331,12,0.0,-0.11060613169165905,structural_group,unstratified,8675309
332,12,0.0,-0.009990956771840507,structural_group,unstratified,8675309
333,12,-0.008461049547044103,-0.06502347739173865,structural_group,unstratified,8675309
334,12,-0.021288940384876134,-0.1759442290000497,structural_group,unstratified,8675309
335,12,-0.0006418734478566973,-0.06033636575806569,structural_group,unstratified,8675309
336,12,-0.01907392419508638,-0.07299787115564334,structural_group,unstratified,8675309
337,12,-0.005658969592345277,-0.07021294883295964,structural_group,unstratified,8675309
338,12,0.0,-0.055806765463812025,structural_group,unstratified,8675309
339,12,-0.00032093672392834866,-0.005065310563296155,structural_group,unstratified,8675309
340,12,-0.008461049547044103,-0.06449592312009529,structural_group,unstratified,8675309
341,12,-0.036226347372473364,-0.23143945493962345,structural_group,unstratified,8675309
342,12,-0.0006418734478566973,-0.060585432181069016,structural_group,unstratified,8675309
343,12,-0.0006418734478566973,-0.06221716965517063,structural_group,unstratified,8675309
344,12,-0.021288940384876134,-0.17640754563445227,structural_group,unstratified,8675309
345,12,0.0,-0.05283867350887195,structural_group,unstratified,8675309
346,12,-0.00032093672392834866,-0.013018610722881999,structural_group,unstratified,8675309
347,12,0.0,-0.11038372548286064,structural_group,unstratified,8675309
348,12,-0.00032093672392834866,-0.1759502204975969,structural_group,unstratified,8675309
349,12,-0.0031230166786271746,-0.11468447939117073,structural_group,unstratified,8675309
350,12,0.0,-0.06533809730839063,structural_group,unstratified,8675309
351,12,-0.008461049547044103,-0.013781739748511315,structural_group,unstratified,8675309
352,12,-0.0031230166786271746,-0.07098273437085495,structural_group,unstratified,8675309
353,12,-0.021288940384876134,-0.12126435439943732,structural_group,unstratified,8675309
354,12,-0.010676065736833856,-0.17619567127378585,structural_group,unstratified,8675309
355,12,-0.008461049547044103,-0.1716218274253231,structural_group,unstratified,8675309
356,12,-0.01907392419508638,-0.022573290044774635,structural_group,unstratified,8675309
357,12,-0.0031230166786271746,-0.11278825166967373,structural_group,unstratified,8675309
358,12,-0.036226347372473364,-0.03127572303495449,structural_group,unstratified,8675309
359,12,0.0,-0.056214216793493754,structural_group,unstratified,8675309
360,12,-0.00032093672392834866,-0.06670413406118865,structural_group,unstratified,8675309
361,12,-0.008461049547044103,-0.020490957208069375,structural_group,unstratified,8675309
362,12,-0.0006418734478566973,-0.01616293177082741,structural_group,unstratified,8675309
363,12,-0.00032093672392834866,-0.0623054308095607,structural_group,unstratified,8675309
364,12,-0.0034439534025555232,-0.11506911849793912,structural_group,unstratified,8675309
365,12,-0.0006418734478566973,-0.0682378112393513,structural_group,unstratified,8675309
366,12,-0.010676065736833856,-0.12477554502194114,structural_group,unstratified,8675309
367,12,-0.0031230166786271746,-0.17202927875500484,structural_group,unstratified,8675309
