bootstrap_sample,structural_group_count,median_paired_difference_sensitivity_minus_magnitude,mean_paired_difference_sensitivity_minus_magnitude,resampling_unit,bootstrap_mode,bootstrap_seed
156,12,-0.008461049547044103,-0.12461119852577048,structural_group,case_stratified,8675310
157,12,-0.015950907516459206,-0.07736428394010177,structural_group,case_stratified,8675310
158,12,0.0,-0.005261103867432208,structural_group,case_stratified,8675310
159,12,-0.00032093672392834866,-0.003399017723913315,structural_group,case_stratified,8675310
160,12,0.0,-0.01031923597687872,structural_group,case_stratified,8675310
161,12,-0.0034439534025555232,-0.010368498469325374,structural_group,case_stratified,8675310
162,12,-0.021288940384876134,-0.1772948419284556,structural_group,case_stratified,8675310
163,12,-0.021288940384876134,-0.1286902629225088,structural_group,case_stratified,8675310
164,12,-0.010676065736833856,-0.12067317380528016,structural_group,case_stratified,8675310
165,12,-0.00032093672392834866,-0.06455540407163059,structural_group,case_stratified,8675310
166,12,0.0,-0.005139236389464726,structural_group,case_stratified,8675310
167,12,-0.0006418734478566973,-0.007764114651963851,structural_group,case_stratified,8675310
168,12,-0.0031230166786271746,-0.008384225928559077,structural_group,case_stratified,8675310
169,12,-0.008461049547044103,-0.12279357227158139,structural_group,case_stratified,8675310
170,12,-0.021288940384876134,-0.12457996805292587,structural_group,case_stratified,8675310
171,12,0.0,-0.006935769039334958,structural_group,case_stratified,8675310
172,12,-0.010676065736833856,-0.11883065187289199,structural_group,case_stratified,8675310
173,12,-0.0034439534025555232,-0.11566592295461171,structural_group,case_stratified,8675310
174,12,-0.021288940384876134,-0.06793570404195785,structural_group,case_stratified,8675310
175,12,-0.0006418734478566973,-0.061110610601979566,structural_group,case_stratified,8675310
176,12,-0.00032093672392834866,-0.0036588323301693544,structural_group,case_stratified,8675310
177,12,-0.0034439534025555232,-0.06556050351718902,structural_group,case_stratified,8675310
178,12,-0.0034439534025555232,-0.06415870092520155,structural_group,case_stratified,8675310
179,12,0.0,-0.05595809887861825,structural_group,case_stratified,8675310
180,12,0.0,-0.008405424915377617,structural_group,case_stratified,8675310
181,12,0.0,-0.008834156276443987,structural_group,case_stratified,8675310
182,12,-0.0031230166786271746,-0.06669945842004928,structural_group,case_stratified,8675310
183,12,-0.021288940384876134,-0.12220989184889434,structural_group,case_stratified,8675310
184,12,-0.0034439534025555232,-0.06366211628007999,structural_group,case_stratified,8675310
185,12,-0.0031230166786271746,-0.018577362481689057,structural_group,case_stratified,8675310
186,12,-0.010676065736833856,-0.0729862494051315,structural_group,case_stratified,8675310
187,12,-0.00032093672392834866,-0.008051463039683947,structural_group,case_stratified,8675310
188,12,-0.0006418734478566973,-0.06342719735202303,structural_group,case_stratified,8675310
189,12,-0.0006418734478566973,-0.06240773407639746,structural_group,case_stratified,8675310
190,12,-0.05477133693621747,-0.2372648564614379,structural_group,case_stratified,8675310
191,12,-0.005338032868416928,-0.06340142810656484,structural_group,case_stratified,8675310
192,12,0.0,-0.06308812404632073,structural_group,case_stratified,8675310
193,12,-0.010676065736833856,-0.12192148346684933,structural_group,case_stratified,8675310
194,12,-0.006246033357254349,-0.06757154722478136,structural_group,case_stratified,8675310
195,12,0.0,-0.06638615435980517,structural_group,case_stratified,8675310
196,12,-0.005658969592345277,-0.07018805315476057,structural_group,case_stratified,8675310
197,12,-0.036226347372473364,-0.1806588744151867,structural_group,case_stratified,8675310
198,12,-0.006246033357254349,-0.17176241265687664,structural_group,case_stratified,8675310
199,12,-0.00032093672392834866,-0.0598158629782945,structural_group,case_stratified,8675310
200,12,-0.00032093672392834866,-0.05922874671054972,structural_group,case_stratified,8675310
201,12,-0.006246033357254349,-0.12237091345262836,structural_group,case_stratified,8675310
202,12,-0.0006418734478566973,-0.009869089293873026,structural_group,case_stratified,8675310
203,12,-0.0006418734478566973,-0.06120211976815223,structural_group,case_stratified,8675310
204,12,0.0,-0.0030336504328285995,structural_group,case_stratified,8675310
205,12,-0.0031230166786271746,-0.011347642242359799,structural_group,case_stratified,8675310
206,12,-0.00032093672392834866,-0.06325828059721271,structural_group,case_stratified,8675310
207,12,-0.00032093672392834866,-0.010424363774046236,structural_group,case_stratified,8675310
208,12,0.0,-0.00762880422073093,structural_group,case_stratified,8675310
209,12,-0.021288940384876134,-0.07682704147953061,structural_group,case_stratified,8675310
210,12,-0.006246033357254349,-0.1193359471633919,structural_group,case_stratified,8675310
