instance_id,ieee_case,support_id,selector,k_budget,slot_budget,actual_nonzeros,slot_count,median_normalized_error,median_absolute_error,random_replicate,accuracy_objective,nondominated
ieee14_eval_seed_14105_block_8x8,ieee14,ieee14_eval_seed_14105_block_8x8__sensitivity_refined_mean_k8_s2_239e7a9180fc,sensitivity_refined_mean,8,2,8,1,0.2931663419024951,0.0003703023624503,,median_heldout_normalized_error_absolute_not_signed,True
ieee14_eval_seed_14105_block_8x8,ieee14,ieee14_eval_seed_14105_block_8x8__sensitivity_refined_mean_k8_s3_239e7a9180fc,sensitivity_refined_mean,8,3,8,1,0.2931663419024951,0.0003703023624503,,median_heldout_normalized_error_absolute_not_signed,True
ieee14_eval_seed_14105_block_8x8,ieee14,ieee14_eval_seed_14105_block_8x8__sensitivity_refined_mean_k8_s4_239e7a9180fc,sensitivity_refined_mean,8,4,8,1,0.2931663419024951,0.0003703023624503,,median_heldout_normalized_error_absolute_not_signed,True
ieee14_eval_seed_14105_block_8x8,ieee14,ieee14_eval_seed_14105_block_8x8__sensitivity_refined_mean_k8_s6_239e7a9180fc,sensitivity_refined_mean,8,6,8,1,0.2931663419024951,0.0003703023624503,,median_heldout_normalized_error_absolute_not_signed,True
ieee14_eval_seed_14105_block_8x8,ieee14,ieee14_eval_seed_14105_block_8x8__sensitivity_refined_mean_k8_s8_239e7a9180fc,sensitivity_refined_mean,8,8,8,1,0.2931663419024951,0.0003703023624503,,median_heldout_normalized_error_absolute_not_signed,True
ieee14_eval_seed_14105_block_8x8,ieee14,ieee14_eval_seed_14105_block_8x8__sensitivity_refined_mean_k12_s2_f4f220279105,sensitivity_refined_mean,12,2,12,2,0.1502185396494479,0.0002387996628166,,median_heldout_normalized_error_absolute_not_signed,True
ieee14_eval_seed_14105_block_8x8,ieee14,ieee14_eval_seed_14105_block_8x8__sensitivity_refined_worst_case_k16_s6_7f0bb255b5bd,sensitivity_refined_worst_case,16,6,16,5,0.112629604069583,0.0001519464640106,,median_heldout_normalized_error_absolute_not_signed,True
ieee14_eval_seed_14105_block_8x8,ieee14,ieee14_eval_seed_14105_block_8x8__sensitivity_refined_worst_case_k16_s8_7f0bb255b5bd,sensitivity_refined_worst_case,16,8,16,5,0.112629604069583,0.0001519464640106,,median_heldout_normalized_error_absolute_not_signed,True
ieee14_eval_seed_14105_block_8x8,ieee14,ieee14_eval_seed_14105_block_8x8__sensitivity_refined_mean_k24_s4_28560addd668,sensitivity_refined_mean,24,4,24,4,0.0898915641686419,9.29373121514182e-05,,median_heldout_normalized_error_absolute_not_signed,True
ieee14_eval_seed_14105_block_8x8,ieee14,ieee14_eval_seed_14105_block_8x8__balanced_magnitude_k32_s4_c366faf643b7,balanced_magnitude,32,4,30,4,0.0680689563867419,9.798116959710732e-05,,median_heldout_normalized_error_absolute_not_signed,True
ieee14_eval_seed_14105_block_8x8,ieee14,ieee14_eval_seed_14105_block_8x8__sensitivity_initial_worst_case_k32_s4_b8088e6cfdc4,sensitivity_initial_worst_case,32,4,31,4,0.0607157219679019,8.919450476097316e-05,,median_heldout_normalized_error_absolute_not_signed,True
ieee14_eval_seed_14105_block_8x8,ieee14,ieee14_eval_seed_14105_block_8x8__sensitivity_initial_mean_k32_s6_f0a46ef49587,sensitivity_initial_mean,32,6,32,6,0.0251104309391529,4.862392676101149e-05,,median_heldout_normalized_error_absolute_not_signed,True
ieee14_eval_seed_14105_block_8x8,ieee14,ieee14_eval_seed_14105_block_8x8__sensitivity_initial_worst_case_k32_s6_f0a46ef49587,sensitivity_initial_worst_case,32,6,32,6,0.0251104309391529,4.862392676101149e-05,,median_heldout_normalized_error_absolute_not_signed,True
ieee30_eval_seed_30101_block_8x8,ieee30,ieee30_eval_seed_30101_block_8x8__random_objective_feasible_k8_s4_r19_22648314efb0,random_objective_feasible,8,4,8,1,0.9333580512080912,0.001065307237772,19.0,median_heldout_normalized_error_absolute_not_signed,True
ieee30_eval_seed_30101_block_8x8,ieee30,ieee30_eval_seed_30101_block_8x8__sensitivity_refined_mean_k12_s4_6327857752a3,sensitivity_refined_mean,12,4,12,3,0.2726271700255367,0.0002212771026074,,median_heldout_normalized_error_absolute_not_signed,True
ieee30_eval_seed_30101_block_8x8,ieee30,ieee30_eval_seed_30101_block_8x8__sensitivity_refined_mean_k12_s6_6327857752a3,sensitivity_refined_mean,12,6,12,3,0.2726271700255367,0.0002212771026074,,median_heldout_normalized_error_absolute_not_signed,True
ieee30_eval_seed_30101_block_8x8,ieee30,ieee30_eval_seed_30101_block_8x8__sensitivity_refined_mean_k12_s8_6327857752a3,sensitivity_refined_mean,12,8,12,3,0.2726271700255367,0.0002212771026074,,median_heldout_normalized_error_absolute_not_signed,True
ieee30_eval_seed_30101_block_8x8,ieee30,ieee30_eval_seed_30101_block_8x8__sensitivity_refined_mean_k24_s8_8f7689a416e1,sensitivity_refined_mean,24,8,24,7,0.0830151992520076,6.585363945925328e-05,,median_heldout_normalized_error_absolute_not_signed,True
ieee30_eval_seed_30101_block_8x8,ieee30,ieee30_eval_seed_30101_block_8x8__sensitivity_initial_worst_case_k32_s8_e941ce9c8cc1,sensitivity_initial_worst_case,32,8,32,8,0.0359933350831801,3.783916532215084e-05,,median_heldout_normalized_error_absolute_not_signed,True
ieee30_eval_seed_30102_block_8x8,ieee30,ieee30_eval_seed_30102_block_8x8__random_objective_feasible_k8_s2_r09_a1ccfbd0724d,random_objective_feasible,8,2,8,1,0.7931624420457547,0.0006969470699764,9.0,median_heldout_normalized_error_absolute_not_signed,True
ieee30_eval_seed_30102_block_8x8,ieee30,ieee30_eval_seed_30102_block_8x8__sensitivity_initial_mean_k12_s6_1e6fcc9553b3,sensitivity_initial_mean,12,6,12,5,0.2207295692217657,0.0003370279330225,,median_heldout_normalized_error_absolute_not_signed,True
ieee30_eval_seed_30102_block_8x8,ieee30,ieee30_eval_seed_30102_block_8x8__sensitivity_initial_mean_k12_s8_1e6fcc9553b3,sensitivity_initial_mean,12,8,12,5,0.2207295692217657,0.0003370279330225,,median_heldout_normalized_error_absolute_not_signed,True
ieee30_eval_seed_30102_block_8x8,ieee30,ieee30_eval_seed_30102_block_8x8__sensitivity_initial_mean_k16_s6_8a120b5bbdd8,sensitivity_initial_mean,16,6,16,6,0.1848419335836016,0.000292255828544,,median_heldout_normalized_error_absolute_not_signed,True
ieee30_eval_seed_30102_block_8x8,ieee30,ieee30_eval_seed_30102_block_8x8__sensitivity_initial_mean_k16_s8_8a120b5bbdd8,sensitivity_initial_mean,16,8,16,6,0.1848419335836016,0.000292255828544,,median_heldout_normalized_error_absolute_not_signed,True
ieee30_eval_seed_30102_block_8x8,ieee30,ieee30_eval_seed_30102_block_8x8__sensitivity_refined_mean_k24_s3_d42d656d8d3d,sensitivity_refined_mean,24,3,20,3,0.0747741975977644,0.0001179035059975,,median_heldout_normalized_error_absolute_not_signed,True
ieee30_eval_seed_30102_block_8x8,ieee30,ieee30_eval_seed_30102_block_8x8__sensitivity_refined_mean_k32_s3_d42d656d8d3d,sensitivity_refined_mean,32,3,20,3,0.0747741975977644,0.0001179035059975,,median_heldout_normalized_error_absolute_not_signed,True
