instance_id,ieee_case,support_id,selector,k_budget,slot_budget,actual_nonzeros,slot_count,median_normalized_error,median_absolute_error,random_replicate,accuracy_objective,signal_unitary_gate_count,signal_unitary_depth,controlled_rotations,resource_record_type,resource_status,missing_resource_cost_is_zero,nondominated
ieee14_eval_seed_14101_block_8x8,ieee14,ieee14_eval_seed_14101_block_8x8__balanced_magnitude_k16_s2_15456ab4ce3b,balanced_magnitude,16,2,15,2,0.3317478867456548,0.0004194678622529,,median_heldout_normalized_error_absolute_not_signed,1030.0,624.0,16.0,executed_sparse_signal_unitary,completed,False,False
ieee14_eval_seed_14101_block_8x8,ieee14,ieee14_eval_seed_14101_block_8x8__balanced_magnitude_k24_s2_15456ab4ce3b,balanced_magnitude,24,2,15,2,0.3317478867456548,0.0004194678622529,,median_heldout_normalized_error_absolute_not_signed,1030.0,624.0,16.0,executed_sparse_signal_unitary,completed,False,False
ieee14_eval_seed_14101_block_8x8,ieee14,ieee14_eval_seed_14101_block_8x8__balanced_magnitude_k32_s2_15456ab4ce3b,balanced_magnitude,32,2,15,2,0.3317478867456548,0.0004194678622529,,median_heldout_normalized_error_absolute_not_signed,1030.0,624.0,16.0,executed_sparse_signal_unitary,completed,False,False
ieee14_eval_seed_14101_block_8x8,ieee14,ieee14_eval_seed_14101_block_8x8__leverage_weighted_k16_s2_15456ab4ce3b,leverage_weighted,16,2,15,2,0.3317478867456548,0.0004194678622529,,median_heldout_normalized_error_absolute_not_signed,1030.0,624.0,16.0,executed_sparse_signal_unitary,completed,False,False
ieee14_eval_seed_14101_block_8x8,ieee14,ieee14_eval_seed_14101_block_8x8__leverage_weighted_k24_s2_15456ab4ce3b,leverage_weighted,24,2,15,2,0.3317478867456548,0.0004194678622529,,median_heldout_normalized_error_absolute_not_signed,1030.0,624.0,16.0,executed_sparse_signal_unitary,completed,False,False
ieee14_eval_seed_14101_block_8x8,ieee14,ieee14_eval_seed_14101_block_8x8__leverage_weighted_k32_s2_15456ab4ce3b,leverage_weighted,32,2,15,2,0.3317478867456548,0.0004194678622529,,median_heldout_normalized_error_absolute_not_signed,1030.0,624.0,16.0,executed_sparse_signal_unitary,completed,False,False
ieee14_eval_seed_14101_block_8x8,ieee14,ieee14_eval_seed_14101_block_8x8__sensitivity_initial_worst_case_k12_s2_8429e0442690,sensitivity_initial_worst_case,12,2,12,2,0.3358468295955035,0.0004017136771426,,median_heldout_normalized_error_absolute_not_signed,1072.0,653.0,16.0,executed_sparse_signal_unitary,completed,False,False
ieee14_eval_seed_14101_block_8x8,ieee14,ieee14_eval_seed_14101_block_8x8__sensitivity_refined_worst_case_k12_s2_ea9c906a2d38,sensitivity_refined_worst_case,12,2,12,2,0.1861987404080337,0.0002420841417654,,median_heldout_normalized_error_absolute_not_signed,1099.0,666.0,16.0,executed_sparse_signal_unitary,completed,False,True
ieee14_eval_seed_14101_block_8x8,ieee14,ieee14_eval_seed_14101_block_8x8__sensitivity_refined_mean_k12_s2_23784c958a82,sensitivity_refined_mean,12,2,12,2,0.1999062978277358,0.0003317959008222,,median_heldout_normalized_error_absolute_not_signed,1157.0,714.0,16.0,executed_sparse_signal_unitary,completed,False,False
ieee14_eval_seed_14101_block_8x8,ieee14,ieee14_eval_seed_14101_block_8x8__sensitivity_initial_mean_k12_s2_98cdbdcefc6c,sensitivity_initial_mean,12,2,12,2,0.2791342602327449,0.0004537944456616,,median_heldout_normalized_error_absolute_not_signed,1164.0,711.0,16.0,executed_sparse_signal_unitary,completed,False,False
