instance_id,ieee_case,support_id,selector,k_budget,slot_budget,actual_nonzeros,slot_count,support_fingerprint,random_replicate,heldout_task_count,median_absolute_error,mean_absolute_error,p90_absolute_error,worst_absolute_error,median_normalized_error,mean_normalized_error,p90_normalized_error,worst_normalized_error,failure_fraction,certificate_coverage,median_certificate_tightness,worst_certificate_tightness,status,failure_reason
ieee14_eval_seed_14101_block_8x8,ieee14,ieee14_eval_seed_14101_block_8x8__balanced_magnitude_k8_s2_912b8f2f0b10,balanced_magnitude,8,2,8,1,912b8f2f0b10b7b22a7248a1909345aa185013716ca8cdd5490076f5788de980,,60,0.0012039847708480468,0.0015271769018885134,0.0029398584045885155,0.006832499617159508,0.7553304366983457,10.905462673647078,9.797763623711813,507.0259118856548,0.9666666666666667,1.0,73.05667803231233,1207.6408830859589,completed,
ieee14_eval_seed_14101_block_8x8,ieee14,ieee14_eval_seed_14101_block_8x8__balanced_magnitude_k8_s3_912b8f2f0b10,balanced_magnitude,8,3,8,1,912b8f2f0b10b7b22a7248a1909345aa185013716ca8cdd5490076f5788de980,,60,0.0012039847708480468,0.0015271769018885134,0.0029398584045885155,0.006832499617159508,0.7553304366983457,10.905462673647078,9.797763623711813,507.0259118856548,0.9666666666666667,1.0,73.05667803231233,1207.6408830859589,completed,
ieee14_eval_seed_14101_block_8x8,ieee14,ieee14_eval_seed_14101_block_8x8__balanced_magnitude_k8_s4_912b8f2f0b10,balanced_magnitude,8,4,8,1,912b8f2f0b10b7b22a7248a1909345aa185013716ca8cdd5490076f5788de980,,60,0.0012039847708480468,0.0015271769018885134,0.0029398584045885155,0.006832499617159508,0.7553304366983457,10.905462673647078,9.797763623711813,507.0259118856548,0.9666666666666667,1.0,73.05667803231233,1207.6408830859589,completed,
ieee14_eval_seed_14101_block_8x8,ieee14,ieee14_eval_seed_14101_block_8x8__balanced_magnitude_k8_s6_912b8f2f0b10,balanced_magnitude,8,6,8,1,912b8f2f0b10b7b22a7248a1909345aa185013716ca8cdd5490076f5788de980,,60,0.0012039847708480468,0.0015271769018885134,0.0029398584045885155,0.006832499617159508,0.7553304366983457,10.905462673647078,9.797763623711813,507.0259118856548,0.9666666666666667,1.0,73.05667803231233,1207.6408830859589,completed,
ieee14_eval_seed_14101_block_8x8,ieee14,ieee14_eval_seed_14101_block_8x8__balanced_magnitude_k8_s8_912b8f2f0b10,balanced_magnitude,8,8,8,1,912b8f2f0b10b7b22a7248a1909345aa185013716ca8cdd5490076f5788de980,,60,0.0012039847708480468,0.0015271769018885134,0.0029398584045885155,0.006832499617159508,0.7553304366983457,10.905462673647078,9.797763623711813,507.0259118856548,0.9666666666666667,1.0,73.05667803231233,1207.6408830859589,completed,
ieee14_eval_seed_14101_block_8x8,ieee14,ieee14_eval_seed_14101_block_8x8__leverage_weighted_k12_s2_cd4de53cfb8f,leverage_weighted,12,2,12,2,cd4de53cfb8f739bdec9c13e8438407514cbc0dd97b021e5b9154c89953072dd,,60,0.00041946786225294697,0.0005867288463471688,0.0013716400817888037,0.001974933104218894,0.3317478867456548,2.335299033595484,5.4292565425605215,52.324332986419044,0.7333333333333333,1.0,296.5653261633205,69214.97456419475,completed,
ieee14_eval_seed_14101_block_8x8,ieee14,ieee14_eval_seed_14101_block_8x8__leverage_weighted_k12_s3_ba6c6a34d2ef,leverage_weighted,12,3,12,3,ba6c6a34d2ef0f3e267afe12307a5b4d2dc2d4e1611622f5e36df2d84aa0b410,,60,0.00046316333703243543,0.0006293649851189242,0.0013503114254688154,0.0019861466221981422,0.3765804187377232,2.5801074810867735,5.125188538667319,67.56341587659797,0.7666666666666667,1.0,244.87669169635785,3658.3969139662986,completed,
ieee14_eval_seed_14101_block_8x8,ieee14,ieee14_eval_seed_14101_block_8x8__leverage_weighted_k12_s4_ba6c6a34d2ef,leverage_weighted,12,4,12,3,ba6c6a34d2ef0f3e267afe12307a5b4d2dc2d4e1611622f5e36df2d84aa0b410,,60,0.00046316333703243543,0.0006293649851189242,0.0013503114254688154,0.0019861466221981422,0.3765804187377232,2.5801074810867735,5.125188538667319,67.56341587659797,0.7666666666666667,1.0,244.87669169635785,3658.3969139662986,completed,
ieee14_eval_seed_14101_block_8x8,ieee14,ieee14_eval_seed_14101_block_8x8__leverage_weighted_k12_s6_ba6c6a34d2ef,leverage_weighted,12,6,12,3,ba6c6a34d2ef0f3e267afe12307a5b4d2dc2d4e1611622f5e36df2d84aa0b410,,60,0.00046316333703243543,0.0006293649851189242,0.0013503114254688154,0.0019861466221981422,0.3765804187377232,2.5801074810867735,5.125188538667319,67.56341587659797,0.7666666666666667,1.0,244.87669169635785,3658.3969139662986,completed,
ieee14_eval_seed_14101_block_8x8,ieee14,ieee14_eval_seed_14101_block_8x8__leverage_weighted_k12_s8_ba6c6a34d2ef,leverage_weighted,12,8,12,3,ba6c6a34d2ef0f3e267afe12307a5b4d2dc2d4e1611622f5e36df2d84aa0b410,,60,0.00046316333703243543,0.0006293649851189242,0.0013503114254688154,0.0019861466221981422,0.3765804187377232,2.5801074810867735,5.125188538667319,67.56341587659797,0.7666666666666667,1.0,244.87669169635785,3658.3969139662986,completed,
