bootstrap_sample,instance_count,median_paired_difference_sensitivity_minus_magnitude,resampling_unit,bootstrap_seed
1849,15,-0.2673352773955874,instance,8675309
1850,15,-0.2859756630598773,instance,8675309
1851,15,-0.17884318399519528,instance,8675309
1852,15,-0.22946696899122998,instance,8675309
1853,15,-0.2659696180787886,instance,8675309
1854,15,-0.2859756630598773,instance,8675309
1855,15,-0.22946696899122998,instance,8675309
1856,15,-0.2659696180787886,instance,8675309
1857,15,-0.17884318399519528,instance,8675309
1858,15,-0.2859756630598773,instance,8675309
1859,15,-0.2673352773955874,instance,8675309
1860,15,-0.22946696899122998,instance,8675309
1861,15,-0.2977248373379707,instance,8675309
1862,15,-0.2673352773955874,instance,8675309
1863,15,-0.2859756630598773,instance,8675309
1864,15,-0.2977248373379707,instance,8675309
1865,15,-0.17884318399519528,instance,8675309
1866,15,-0.2673352773955874,instance,8675309
1867,15,-0.2659696180787886,instance,8675309
1868,15,-0.22946696899122998,instance,8675309
1869,15,-0.17884318399519528,instance,8675309
1870,15,-0.22946696899122998,instance,8675309
1871,15,-0.2673352773955874,instance,8675309
1872,15,-0.2977248373379707,instance,8675309
1873,15,-0.2977248373379707,instance,8675309
1874,15,-0.2859756630598773,instance,8675309
1875,15,-0.22946696899122998,instance,8675309
1876,15,-0.17884318399519528,instance,8675309
1877,15,-0.1515999042352149,instance,8675309
1878,15,-0.17884318399519528,instance,8675309
1879,15,-0.2659696180787886,instance,8675309
1880,15,-0.22946696899122998,instance,8675309
1881,15,-0.2859756630598773,instance,8675309
1882,15,-0.2673352773955874,instance,8675309
1883,15,-0.2659696180787886,instance,8675309
1884,15,-0.17884318399519528,instance,8675309
1885,15,-0.2659696180787886,instance,8675309
1886,15,-0.2859756630598773,instance,8675309
1887,15,-0.2673352773955874,instance,8675309
1888,15,-0.3156277947922177,instance,8675309
1889,15,-0.2659696180787886,instance,8675309
1890,15,-0.22946696899122998,instance,8675309
1891,15,-0.127918925273331,instance,8675309
1892,15,-0.2659696180787886,instance,8675309
1893,15,-0.2673352773955874,instance,8675309
1894,15,-0.2859756630598773,instance,8675309
1895,15,-0.2673352773955874,instance,8675309
1896,15,-0.17884318399519528,instance,8675309
1897,15,-0.1515999042352149,instance,8675309
1898,15,-0.2977248373379707,instance,8675309
1899,15,-0.2659696180787886,instance,8675309
1900,15,-0.22946696899122998,instance,8675309
1901,15,-0.2673352773955874,instance,8675309
1902,15,-0.22946696899122998,instance,8675309
1903,15,-0.2859756630598773,instance,8675309
1904,15,-0.1515999042352149,instance,8675309
1905,15,-0.22946696899122998,instance,8675309
1906,15,-0.22946696899122998,instance,8675309
1907,15,-0.22946696899122998,instance,8675309
1908,15,-0.17884318399519528,instance,8675309
1909,15,-0.2673352773955874,instance,8675309
1910,15,-0.2673352773955874,instance,8675309
1911,15,-0.2659696180787886,instance,8675309
1912,15,-0.2859756630598773,instance,8675309
1913,15,-0.2659696180787886,instance,8675309
1914,15,-0.2659696180787886,instance,8675309
1915,15,-0.22946696899122998,instance,8675309
1916,15,-0.2859756630598773,instance,8675309
1917,15,-0.2659696180787886,instance,8675309
1918,15,-0.2673352773955874,instance,8675309
1919,15,-0.3156277947922177,instance,8675309
1920,15,-0.17884318399519528,instance,8675309
1921,15,-0.1515999042352149,instance,8675309
1922,15,-0.2659696180787886,instance,8675309
1923,15,-0.1515999042352149,instance,8675309
1924,15,-0.2659696180787886,instance,8675309
1925,15,-0.2977248373379707,instance,8675309
1926,15,-0.2659696180787886,instance,8675309
1927,15,-0.2859756630598773,instance,8675309
1928,15,-0.2673352773955874,instance,8675309
1929,15,-0.2673352773955874,instance,8675309
1930,15,-0.2977248373379707,instance,8675309
1931,15,-0.22946696899122998,instance,8675309
1932,15,-0.17884318399519528,instance,8675309
1933,15,-0.2673352773955874,instance,8675309
1934,15,-0.2859756630598773,instance,8675309
1935,15,-0.2659696180787886,instance,8675309
1936,15,-0.2977248373379707,instance,8675309
1937,15,-0.127918925273331,instance,8675309
1938,15,-0.2659696180787886,instance,8675309
1939,15,-0.2673352773955874,instance,8675309
1940,15,-0.2859756630598773,instance,8675309
1941,15,-0.06167886880346568,instance,8675309
1942,15,-0.2859756630598773,instance,8675309
1943,15,-0.2977248373379707,instance,8675309
1944,15,-0.2673352773955874,instance,8675309
1945,15,-0.2859756630598773,instance,8675309
1946,15,-0.22946696899122998,instance,8675309
1947,15,-0.2659696180787886,instance,8675309
1948,15,-0.2659696180787886,instance,8675309
1949,15,-0.2859756630598773,instance,8675309
1950,15,-0.2859756630598773,instance,8675309
1951,15,-0.2673352773955874,instance,8675309
