arm,scenario,seed,classification,executed_iterations,iteration_order_sorted_unique,iteration_0_state_rmse,final_state_rmse,iteration_0_relative_gap_to_final_floor,iteration_0_weighted_residual,final_weighted_residual,relative_residual_reduction,final_update_norm,terminal_window_relative_rmse_change,terminal_window_max_relative_swing,rmse_floor_entry_iteration,first_qualifying_window_end_iteration,plateau_onset_iteration,plateau_rule_satisfied_at_horizon,plateau_rule_remains_satisfied_from_onset,plateau_window,plateau_rmse_rel_tol,plateau_step_norm_threshold
sparse_qsvt_statevector_closed_loop,random_missing_measurement_stress,101,plateaued,30,True,0.006371533539056902,0.0061400790135190016,0.037695691704991464,21.915740317834015,11.309363721101212,0.4839615930337441,5.399710867420041e-05,0.0022306743070617877,0.0022306743070617877,19,24,24,True,True,5,0.01,0.0001
full_system_exact_ridge,random_missing_measurement_stress,202,converged,4,True,0.005999920314578795,0.0007439290010051845,7.065178674943176,22.330867235468503,0.8224462000318659,0.9631699838900318,2.1734713860150255e-10,,,2,-1,-1,False,False,5,0.01,0.0001
block_full_support_ridge,random_missing_measurement_stress,202,plateaued,30,True,0.005999920314578795,0.00598649610790349,0.002242414666833604,22.330867235468503,20.325270778011426,0.08981274378236209,2.8918886239715664e-05,0.0002671838871968282,0.0002671838871968282,0,5,5,True,True,5,0.01,0.0001
sparse_exact_ridge,random_missing_measurement_stress,202,plateaued,30,True,0.005999920314578795,0.0060117845849021224,0.0019735022364445833,22.330867235468503,20.96276376621706,0.06126512933086907,6.780656094740811e-06,1.0195069616767097e-05,1.0195069616767097e-05,0,4,4,True,True,5,0.01,0.0001
sparse_quantized_ridge,random_missing_measurement_stress,202,plateaued,30,True,0.005999920314578795,0.006011706093775522,0.0019604716220126407,22.330867235468503,20.96320103871834,0.0612455478029029,6.604695277621705e-06,1.0386474088078301e-05,1.0386474088078301e-05,0,4,4,True,True,5,0.01,0.0001
sparse_exact_polynomial,random_missing_measurement_stress,202,plateaued,30,True,0.005999920314578795,0.006011706105510007,0.0019604735701251367,22.330867235468503,20.963202121372085,0.061245499320515956,6.6054897927994195e-06,1.0387611735569026e-05,1.0387611735569026e-05,0,4,4,True,True,5,0.01,0.0001
sparse_qsvt_statevector_closed_loop,random_missing_measurement_stress,202,plateaued,30,True,0.005999920314578795,0.006011706105508283,0.0019604735698388726,22.330867235468503,20.96320212123246,0.061245499326768524,6.605489691454321e-06,1.0387611574412586e-05,1.0387611574412586e-05,0,4,4,True,True,5,0.01,0.0001
full_system_exact_ridge,random_missing_measurement_stress,303,converged,4,True,0.007363449092045407,0.0010148222623798805,6.255900234960585,43.9173005551115,0.7258490803713848,0.9834723657602652,3.107850297148198e-10,,,2,-1,-1,False,False,5,0.01,0.0001
block_full_support_ridge,random_missing_measurement_stress,303,plateaued,30,True,0.007363449092045407,0.006219372948544218,0.18395361605851046,43.9173005551115,23.05254164634054,0.4750920171559253,8.333461520894546e-05,0.0031573843913964288,0.0031573843913964288,19,28,28,True,True,5,0.01,0.0001
sparse_exact_ridge,random_missing_measurement_stress,303,plateaued,30,True,0.007363449092045407,0.006270567045688324,0.174287594470193,43.9173005551115,23.59478621032189,0.46274507057388553,8.44948321892035e-05,0.0035604530150664306,0.0035604530150664306,20,28,28,True,True,5,0.01,0.0001
sparse_quantized_ridge,random_missing_measurement_stress,303,plateaued,30,True,0.007363449092045407,0.006271589499499611,0.17409615100492654,43.9173005551115,23.593351370219516,0.4627777419831989,8.340219533701804e-05,0.0035325950663528055,0.0035325950663528055,20,28,28,True,True,5,0.01,0.0001
sparse_exact_polynomial,random_missing_measurement_stress,303,plateaued,30,True,0.007363449092045407,0.006271580251774426,0.17409788226213924,43.9173005551115,23.593364026356635,0.46277745380207297,8.341199123286167e-05,0.0035328324051310295,0.0035328324051310295,20,28,28,True,True,5,0.01,0.0001
sparse_qsvt_statevector_closed_loop,random_missing_measurement_stress,303,plateaued,30,True,0.007363449092045407,0.00627158025295281,0.1740978820415347,43.9173005551115,23.593364024771187,0.46277745383817376,8.34119899922857e-05,0.0035328323756982738,0.0035328323756982738,20,28,28,True,True,5,0.01,0.0001
full_system_exact_ridge,sparse_signed_bad_data_stress,101,converged,6,True,0.006371533539056902,0.011766365641127138,0.45849604428521296,23.447240061704836,4.2174338097112605,0.8201309067245243,1.019864224742052e-08,,,2,-1,-1,False,False,5,0.01,0.0001
block_full_support_ridge,sparse_signed_bad_data_stress,101,plateaued,30,True,0.006371533539056902,0.006132830680583117,0.03892213415079779,23.447240061704836,13.946872892524171,0.40518061589249144,4.105660321962003e-05,0.002397108181787956,0.002397108181787956,19,23,23,True,True,5,0.01,0.0001
sparse_exact_ridge,sparse_signed_bad_data_stress,101,plateaued,30,True,0.006371533539056902,0.006139054157026576,0.03786892509560886,23.447240061704836,13.933557007514574,0.40574852431047814,5.575445791437314e-05,0.0022766010510812734,0.0022766010510812734,19,24,24,True,True,5,0.01,0.0001
sparse_quantized_ridge,sparse_signed_bad_data_stress,101,plateaued,30,True,0.006371533539056902,0.006140081620000019,0.03769525120040384,23.447240061704836,13.934296277647585,0.40571699522086824,5.399186123850259e-05,0.002230464601321552,0.002230464601321552,19,24,24,True,True,5,0.01,0.0001
sparse_exact_polynomial,sparse_signed_bad_data_stress,101,plateaued,30,True,0.006371533539056902,0.006140079013095139,0.03769569177662574,23.447240061704836,13.9342947925256,0.40571705855975077,5.399710944729438e-05,0.0022306743412091375,0.0022306743412091375,19,24,24,True,True,5,0.01,0.0001
sparse_qsvt_statevector_closed_loop,sparse_signed_bad_data_stress,101,plateaued,30,True,0.006371533539056902,0.0061400790135190016,0.037695691704991464,23.447240061704836,13.934294792737882,0.4057170585506972,5.399710867420041e-05,0.0022306743070617877,0.0022306743070617877,19,24,24,True,True,5,0.01,0.0001
full_system_exact_ridge,sparse_signed_bad_data_stress,202,converged,4,True,0.005999920314578795,0.004602899137518483,0.303508970177755,27.124691864160344,5.031206860317538,0.8145156123611035,1.532560309004224e-08,,,2,-1,-1,False,False,5,0.01,0.0001
block_full_support_ridge,sparse_signed_bad_data_stress,202,plateaued,30,True,0.005999920314578795,0.006118228500367123,0.019337000208676174,27.124691864160344,21.958967087330674,0.1904436298373256,3.493260645009522e-05,0.002497294185495197,0.002497294185495197,19,21,21,True,True,5,0.01,0.0001
sparse_exact_ridge,sparse_signed_bad_data_stress,202,plateaued,30,True,0.005999920314578795,0.006116979424491542,0.01913675063938565,27.124691864160344,21.93863171609268,0.1911933294593465,4.641018569908685e-05,0.002935598670731538,0.002935598670731538,20,23,23,True,True,5,0.01,0.0001
sparse_quantized_ridge,sparse_signed_bad_data_stress,202,plateaued,30,True,0.005999920314578795,0.006116739538285724,0.019098283158165724,27.124691864160344,21.93880459213278,0.19118695607671174,4.64202244742503e-05,0.0029556895771209787,0.0029556895771209787,20,23,23,True,True,5,0.01,0.0001
sparse_exact_polynomial,sparse_signed_bad_data_stress,202,plateaued,30,True,0.005999920314578795,0.006116735840308542,0.019097690137270137,27.124691864160344,21.938800780538827,0.19118709659790076,4.642471382919743e-05,0.002955937504285292,0.002955937504285292,20,23,23,True,True,5,0.01,0.0001
sparse_qsvt_statevector_closed_loop,sparse_signed_bad_data_stress,202,plateaued,30,True,0.005999920314578795,0.006116735840917281,0.019097690234889726,27.124691864160344,21.938800781078648,0.19118709657799932,4.6424713148096784e-05,0.002955937462794972,0.002955937462794972,20,23,23,True,True,5,0.01,0.0001
full_system_exact_ridge,sparse_signed_bad_data_stress,303,converged,5,True,0.007363449092045407,0.007911450744494335,0.06926689808822838,46.29106258401931,4.786381672138926,0.8966024669783388,4.160049054955431e-09,,,2,-1,-1,False,False,5,0.01,0.0001
block_full_support_ridge,sparse_signed_bad_data_stress,303,plateaued,30,True,0.007363449092045407,0.006188103665298536,0.18993628586701577,46.29106258401931,24.754409418133616,0.46524430340729783,3.7607303477815436e-05,0.0012838052276705435,0.0012838052276705435,13,22,22,True,True,5,0.01,0.0001
sparse_exact_ridge,sparse_signed_bad_data_stress,303,plateaued,30,True,0.007363449092045407,0.006189783422163979,0.18961336606363988,46.29106258401931,24.766942325879945,0.4649735619931516,4.70887629892709e-05,0.0013095913235871592,0.0013095913235871592,13,23,23,True,True,5,0.01,0.0001
sparse_quantized_ridge,sparse_signed_bad_data_stress,303,plateaued,30,True,0.007363449092045407,0.006189922511425645,0.1895866351240443,46.29106258401931,24.766354337389952,0.46498626398047205,4.665012666805752e-05,0.001302875176296864,0.001302875176296864,13,23,23,True,True,5,0.01,0.0001
sparse_exact_polynomial,sparse_signed_bad_data_stress,303,plateaued,30,True,0.007363449092045407,0.006189920331311074,0.18958705410119076,46.29106258401931,24.766362950435866,0.4649860779176463,4.665534679211193e-05,0.0013029989021548394,0.0013029989021548394,13,23,23,True,True,5,0.01,0.0001
