case_name,block_size,selection_rule,alpha,full_selected_functional,block_selected_functional,relative_discrepancy_vs_full,selected_coordinate_vector_relative_discrepancy,out_of_block_coupling_fraction,functional_column_leakage,kappa_effective,magnitude_class
ieee57,16,largest_row_col_norms,2587392.9586163573,0.0035200658557409076,0.0,1.0,0.31603796165382736,0.1832329875535106,1.0,22.465182101832845,above_0.5
ieee57,16,column_leverage,175464.0534105826,0.004888658677222987,0.0,1.0,1.1881262976985607,0.9359364724041299,1.0,8.193577639231062,above_0.5
ieee57,16,seeded_random,51146.10006299404,-0.0024065990396532765,0.0,1.0,3.8483171612375986,0.9605852198727436,1.0,19.483950643631456,above_0.5
ieee57,32,largest_row_col_norms,2731482.048666625,0.003464501767889572,0.002368333455973084,0.31639998630574434,0.3335158452417162,0.17160702609489129,0.5138961500712336,120.14949284697477,0.05_to_0.5
ieee57,32,column_leverage,609752.6071342614,0.0045467481794416904,-1.8517587335680896e-19,1.0,0.8711427367810775,0.6370405541607834,1.0,601.4023085142692,above_0.5
ieee57,32,seeded_random,154030.8590225231,0.004907391732663526,-0.0017636947995354664,1.359395559925722,1.8922683251835382,0.9216268744525682,0.9970251893332803,318.3122505977182,above_0.5
ieee57,64,largest_row_col_norms,2737267.492638495,0.0034623090117407015,0.00335763390693496,0.03023274481012179,0.37354601665430515,0.11582980399991218,0.04067541825746173,225.46622132631563,below_0.05
ieee57,64,column_leverage,671436.663577966,0.0045035864817730455,0.0024131157337020604,0.46417910625932385,0.7662675541585997,0.4570442031685099,0.8073225624065803,1660.5242820874148,0.05_to_0.5
ieee57,64,seeded_random,470847.51107397367,-0.004731034843917103,-0.004903840935837449,0.03652606620357699,1.253658372972423,0.7335267558878704,0.5557528496910041,677.0824789528201,below_0.05
ieee118,4,largest_row_col_norms,37051627.53119066,0.00036684498062867403,0.00027992958113454597,0.23692677856782543,0.41106586442210963,0.13575455503157768,0.22894014714257946,10.129067544645697,0.05_to_0.5
ieee118,4,column_leverage,16240.075461028888,-0.0006384497613895869,0.1313021653047511,206.6577874177159,35.19986571176883,0.9976246874271123,0.9990114045632641,2.2208716468967418,above_0.5
ieee118,8,largest_row_col_norms,46047163.361387484,-0.0015253971802248753,-0.0014468875140136266,0.051468343608498605,0.44864107185641583,0.12131060604262917,0.5771530202146917,10.531455754445489,0.05_to_0.5
ieee118,8,column_leverage,756803.8748505731,0.0029819675564434593,-0.017283786178208128,6.796101349547276,3.4209128063213066,0.9279193041456361,0.9471215825731975,15.370715148180704,above_0.5
ieee118,8,seeded_random,12227.236165779545,0.002123634554244073,0.0,1.0,1.3900122237426351,0.9974251977054488,1.0000000000000002,1.0,above_0.5
ieee118,16,largest_row_col_norms,46047163.361387484,0.0013157283240011121,0.0011977417869207634,0.08967393566595366,0.32432178732224964,0.10453050242995955,0.2821300398962035,23.075979150719622,0.05_to_0.5
ieee118,16,column_leverage,1528768.4928923578,0.0026589685917650994,-0.011757602287564313,5.421865803145603,1.6827709680067653,0.8718987922716003,0.9471215825731975,293.83250361904953,above_0.5
ieee118,16,seeded_random,71380.24094155095,0.005212879078753506,0.0,1.0,5.4897602004478285,0.9892933758534838,1.0,39.434311575576395,above_0.5
ieee118,32,largest_row_col_norms,46152985.2248601,0.0013152164201825226,0.0012929722614089664,0.016912926596878406,0.44640332460169513,0.10286384264981682,0.009006086292818403,7203.852657692216,below_0.05
ieee118,32,column_leverage,2147397.0070300573,-0.0027318393750267525,2.0619109098242123e-18,1.0000000000000009,1.4849635824985095,0.8125220469431443,1.0,493.33189604175124,above_0.5
ieee118,32,seeded_random,232642.0571980948,0.0015104103190481124,-0.00117577109982963,1.7784448272113382,1.0826776224273664,0.9813627582820796,0.6657380750605203,23.7255246285243,above_0.5
ieee118,64,largest_row_col_norms,46927647.22200258,0.0013114557427475265,0.0013191495462502134,0.005866613147438937,0.26703082275838746,0.07331161444536291,0.009006086292818403,2616.7893845765907,below_0.05
