estimator,rmse,angle_rmse,voltage_magnitude_rmse,residual_norm,weighted_residual,condition_number,rank,effective_rank,runtime_seconds,iterations,converged,failed,failure_reason,case_name,dataset_source,dataset_source_detail,external_case,mode,n_measurements,n_states,scenario_name,noise_std,missing_ratio,bad_data_ratio,bad_data_count,bad_data_magnitude,bad_data_target,target_condition_number,achieved_condition_number,trial_id,sweep_name,sweep_parameter,sweep_value,seed
huber_irls,0.0007451029970941502,0.00045029440187467287,0.0009393718733756084,4.946450324675011,4.946450324675011,54.13103661239391,27,27,0.03990687499754131,4,True,False,,ieee14,pypower,pypower.case14.case14,True,nonlinear_ac_state_estimation,74,27,nonlinear_ac_ieee14,0.0,0.1,0.05,1,5.0,weak_area,,54.13103661239391,nonlinear_noise_sweep_0p0_seed505,nonlinear_noise_sweep,scenario.noise_std,0.0,505
pseudoinverse,0.002667791671855574,0.0017844402390072456,0.003281627256992936,4.85626310279689,4.85626310279689,53.56484214765287,27,27,0.04910166699846741,5,True,False,,ieee14,pypower,pypower.case14.case14,True,nonlinear_ac_state_estimation,74,27,nonlinear_ac_ieee14,0.0,0.1,0.05,1,5.0,weak_area,,53.56484214765287,nonlinear_noise_sweep_0p0_seed606,nonlinear_noise_sweep,scenario.noise_std,0.0,606
ridge,0.0026677916718554186,0.0017844402390071923,0.00328162725699272,4.856263102796898,4.856263102796898,53.56484214765286,27,27,0.049550625000847504,5,True,False,,ieee14,pypower,pypower.case14.case14,True,nonlinear_ac_state_estimation,74,27,nonlinear_ac_ieee14,0.0,0.1,0.05,1,5.0,weak_area,,53.56484214765286,nonlinear_noise_sweep_0p0_seed606,nonlinear_noise_sweep,scenario.noise_std,0.0,606
truncated_svd,0.002667791671855574,0.0017844402390072456,0.003281627256992936,4.85626310279689,4.85626310279689,53.56484214765287,27,27,0.05044350000389386,5,True,False,,ieee14,pypower,pypower.case14.case14,True,nonlinear_ac_state_estimation,74,27,nonlinear_ac_ieee14,0.0,0.1,0.05,1,5.0,weak_area,,53.56484214765287,nonlinear_noise_sweep_0p0_seed606,nonlinear_noise_sweep,scenario.noise_std,0.0,606
qsvt_regularized,0.0026677916718554186,0.0017844402390071923,0.00328162725699272,4.856263102796898,4.856263102796898,53.56484214765286,27,27,0.048016458000347484,5,True,False,,ieee14,pypower,pypower.case14.case14,True,nonlinear_ac_state_estimation,74,27,nonlinear_ac_ieee14,0.0,0.1,0.05,1,5.0,weak_area,,53.56484214765286,nonlinear_noise_sweep_0p0_seed606,nonlinear_noise_sweep,scenario.noise_std,0.0,606
huber_irls,0.0008597195497745934,0.0005722786406776451,0.0010589294142690567,4.922713680721825,4.922713680721825,53.51401878674284,27,27,0.03998858399427263,4,True,False,,ieee14,pypower,pypower.case14.case14,True,nonlinear_ac_state_estimation,74,27,nonlinear_ac_ieee14,0.0,0.1,0.05,1,5.0,weak_area,,53.51401878674284,nonlinear_noise_sweep_0p0_seed606,nonlinear_noise_sweep,scenario.noise_std,0.0,606
pseudoinverse,0.0014643533504206943,0.00019396172242574792,0.0020249842132545434,4.973272459091328,4.973272459091328,53.522373636383016,27,27,0.04139895900152624,4,True,False,,ieee14,pypower,pypower.case14.case14,True,nonlinear_ac_state_estimation,74,27,nonlinear_ac_ieee14,0.0,0.1,0.05,1,5.0,weak_area,,53.522373636383016,nonlinear_noise_sweep_0p0_seed707,nonlinear_noise_sweep,scenario.noise_std,0.0,707
ridge,0.0014643533504207415,0.00019396172242590472,0.0020249842132545955,4.9732724590913335,4.9732724590913335,53.52237363638603,27,27,0.041129208002530504,4,True,False,,ieee14,pypower,pypower.case14.case14,True,nonlinear_ac_state_estimation,74,27,nonlinear_ac_ieee14,0.0,0.1,0.05,1,5.0,weak_area,,53.52237363638603,nonlinear_noise_sweep_0p0_seed707,nonlinear_noise_sweep,scenario.noise_std,0.0,707
truncated_svd,0.0014643533504206476,0.00019396172242567894,0.0020249842132544845,4.973272459091327,4.973272459091327,53.52237363638299,27,27,0.039747417002217844,4,True,False,,ieee14,pypower,pypower.case14.case14,True,nonlinear_ac_state_estimation,74,27,nonlinear_ac_ieee14,0.0,0.1,0.05,1,5.0,weak_area,,53.52237363638299,nonlinear_noise_sweep_0p0_seed707,nonlinear_noise_sweep,scenario.noise_std,0.0,707
qsvt_regularized,0.0014643533504207415,0.00019396172242590472,0.0020249842132545955,4.9732724590913335,4.9732724590913335,53.52237363638603,27,27,0.040182166994782165,4,True,False,,ieee14,pypower,pypower.case14.case14,True,nonlinear_ac_state_estimation,74,27,nonlinear_ac_ieee14,0.0,0.1,0.05,1,5.0,weak_area,,53.52237363638603,nonlinear_noise_sweep_0p0_seed707,nonlinear_noise_sweep,scenario.noise_std,0.0,707
huber_irls,0.0004436861494326455,5.902036819203194e-05,0.000613529922902597,4.986260547865327,4.986260547865327,53.391270497947424,27,27,0.0402843749980093,4,True,False,,ieee14,pypower,pypower.case14.case14,True,nonlinear_ac_state_estimation,74,27,nonlinear_ac_ieee14,0.0,0.1,0.05,1,5.0,weak_area,,53.391270497947424,nonlinear_noise_sweep_0p0_seed707,nonlinear_noise_sweep,scenario.noise_std,0.0,707
pseudoinverse,0.010611690665540727,0.008307713623948393,0.012372723610375372,4.508234150186594,4.508234150186594,71.24296451041806,27,27,0.05015724999975646,5,True,False,,ieee14,pypower,pypower.case14.case14,True,nonlinear_ac_state_estimation,74,27,nonlinear_ac_ieee14,0.0,0.1,0.05,1,5.0,weak_area,,71.24296451041806,nonlinear_noise_sweep_0p0_seed808,nonlinear_noise_sweep,scenario.noise_std,0.0,808
ridge,0.010611690665540522,0.008307713623948195,0.012372723610375159,4.508234150186585,4.508234150186585,71.24296451041738,27,27,0.04960729199956404,5,True,False,,ieee14,pypower,pypower.case14.case14,True,nonlinear_ac_state_estimation,74,27,nonlinear_ac_ieee14,0.0,0.1,0.05,1,5.0,weak_area,,71.24296451041738,nonlinear_noise_sweep_0p0_seed808,nonlinear_noise_sweep,scenario.noise_std,0.0,808
truncated_svd,0.010611690665540735,0.008307713623948413,0.012372723610375372,4.508234150186592,4.508234150186592,71.2429645104181,27,27,0.04955750000226544,5,True,False,,ieee14,pypower,pypower.case14.case14,True,nonlinear_ac_state_estimation,74,27,nonlinear_ac_ieee14,0.0,0.1,0.05,1,5.0,weak_area,,71.2429645104181,nonlinear_noise_sweep_0p0_seed808,nonlinear_noise_sweep,scenario.noise_std,0.0,808
qsvt_regularized,0.010611690665540522,0.008307713623948195,0.012372723610375159,4.508234150186585,4.508234150186585,71.24296451041738,27,27,0.04928500000096392,5,True,False,,ieee14,pypower,pypower.case14.case14,True,nonlinear_ac_state_estimation,74,27,nonlinear_ac_ieee14,0.0,0.1,0.05,1,5.0,weak_area,,71.24296451041738,nonlinear_noise_sweep_0p0_seed808,nonlinear_noise_sweep,scenario.noise_std,0.0,808
