matrix_id,experiment_family,ieee_case,structural_group_id,matrix_fingerprint,recomputed_matrix_fingerprint,matrix_fingerprint_matches,source_artifact,source_row_locator,configuration_id,matrix_shape,numerical_rank,effective_rank,rank_deficient,sigma_max,sigma_min,smallest_computed_singular_value,singular_threshold,singular_threshold_rule,raw_condition_number,thresholded_condition_number,alpha,regularized_condition_number,max_ridge_filter_response_global,max_ridge_filter_response_actual,effective_dimension,residual_count,ridge_solve_residual_median,ridge_solve_residual_p90,ridge_solve_residual_max,raw_conditioning_label,regularized_conditioning_label,ridge_filter_label
output_aware_structural_generalization:ieee14_structural_group_02_realization_02_seed_14202_8x8,output_aware_structural_generalization,ieee14,ieee14_structural_group_02,16119aba633d386a3a8942d6962a7df87c7c5a7089570202f34a6603102258d7,16119aba633d386a3a8942d6962a7df87c7c5a7089570202f34a6603102258d7,true,outputs/output_aware_structural_generalization/instances/ieee14_structural_group_02_realization_02_seed_14202_8x8.json,$.matrix,cfg:output_aware_structural_generalization:study,8x8,7,3.9733978600594417,true,423.2527180233656,0.0,0.0,7.518478604555512e-13,"max(m,n)*float64_epsilon*sigma_max",infinity,6.968065880540129,73463.11323680496,3.438541676510603,0.001844740743463203,0.0018407699486073556,2.341121375630603,40,5.2327279307548603e-17,1.5460349580889415e-16,1.8086531399703616e-16,raw_matrix_conditioning,regularized_normal_system_conditioning,ridge_filter_amplification
output_aware_structural_generalization:ieee14_structural_group_03_realization_01_seed_14201_8x8,output_aware_structural_generalization,ieee14,ieee14_structural_group_03,60e48ea7cc6e78abdb58f6da23a56ba17768676ee4af7c8a65befdca806c0ba3,60e48ea7cc6e78abdb58f6da23a56ba17768676ee4af7c8a65befdca806c0ba3,true,outputs/output_aware_structural_generalization/instances/ieee14_structural_group_03_realization_01_seed_14201_8x8.json,$.matrix,cfg:output_aware_structural_generalization:study,8x8,8,4.302997132713596,false,1607.8353739077897,0.4005055643122316,0.4005055643122316,2.8560893630707613e-12,"max(m,n)*float64_epsilon*sigma_max",4014.514446681523,4014.514446681523,1115749.0527047438,3.316949363540266,0.00047335475155582516,0.00047257857666426395,2.548354648757504,40,1.160639406233141e-16,1.7098943540297914e-16,3.836815722100923e-16,raw_matrix_conditioning,regularized_normal_system_conditioning,ridge_filter_amplification
output_aware_structural_generalization:ieee14_structural_group_03_realization_02_seed_14202_8x8,output_aware_structural_generalization,ieee14,ieee14_structural_group_03,1ebb8e8bafd1d1ce55b6d084cab7c7e81f3fc5bfd3e447a7232fb8970e4f6d23,1ebb8e8bafd1d1ce55b6d084cab7c7e81f3fc5bfd3e447a7232fb8970e4f6d23,true,outputs/output_aware_structural_generalization/instances/ieee14_structural_group_03_realization_02_seed_14202_8x8.json,$.matrix,cfg:output_aware_structural_generalization:study,8x8,8,4.331580424688054,false,1599.6374255742344,0.47202687069928384,0.47202687069928384,2.8415268814794004e-12,"max(m,n)*float64_epsilon*sigma_max",3388.869415854341,3388.869415854341,1110467.8144669791,3.304289348808711,0.0004744790227552214,0.000473762203649236,2.564274218635938,40,1.0280062832498282e-16,1.8049250935026925e-16,2.3273821930548463e-16,raw_matrix_conditioning,regularized_normal_system_conditioning,ridge_filter_amplification
output_aware_structural_generalization:ieee14_structural_group_04_realization_01_seed_14201_8x8,output_aware_structural_generalization,ieee14,ieee14_structural_group_04,c2c7a1689e7e4d0c013baaabbbe97bce75577f122c8d1182e4e390ae7b69ee2a,c2c7a1689e7e4d0c013baaabbbe97bce75577f122c8d1182e4e390ae7b69ee2a,true,outputs/output_aware_structural_generalization/instances/ieee14_structural_group_04_realization_01_seed_14201_8x8.json,$.matrix,cfg:output_aware_structural_generalization:study,8x8,7,3.6901139590366885,true,1690.1056137558187,0.0,1.1057810842326695e-14,3.0022306663039066e-12,"max(m,n)*float64_epsilon*sigma_max",infinity,23.811828030637024,782258.8527454449,4.651549580581676,0.0005653205345988681,0.0005653195908914953,2.745163465127461,40,9.477629452846092e-17,1.2515397189311261e-16,2.093002302481436e-16,raw_matrix_conditioning,regularized_normal_system_conditioning,ridge_filter_amplification
output_aware_structural_generalization:ieee14_structural_group_04_realization_02_seed_14202_8x8,output_aware_structural_generalization,ieee14,ieee14_structural_group_04,9035916c66a5d3d30294c295d4302de362674e2a762daa80b6ef718291e7a76e,9035916c66a5d3d30294c295d4302de362674e2a762daa80b6ef718291e7a76e,true,outputs/output_aware_structural_generalization/instances/ieee14_structural_group_04_realization_02_seed_14202_8x8.json,$.matrix,cfg:output_aware_structural_generalization:study,8x8,7,3.6969467980845128,true,1673.4111572786474,0.0,8.981606217027605e-15,2.9725753543606134e-12,"max(m,n)*float64_epsilon*sigma_max",infinity,23.6070682954595,770828.8812687009,4.632848962140161,0.0005694964420603398,0.0005694500615000781,2.7515063839309715,40,7.079942359494494e-17,1.3572070798397342e-16,1.745303920015899e-16,raw_matrix_conditioning,regularized_normal_system_conditioning,ridge_filter_amplification
output_aware_structural_generalization:ieee30_structural_group_01_realization_01_seed_30201_8x8,output_aware_structural_generalization,ieee30,ieee30_structural_group_01,874f5045b2caa8586def81f5c07e02b60c51d4280c8cba7a397f8066e91c0a50,874f5045b2caa8586def81f5c07e02b60c51d4280c8cba7a397f8066e91c0a50,true,outputs/output_aware_structural_generalization/instances/ieee30_structural_group_01_realization_01_seed_30201_8x8.json,$.matrix,cfg:output_aware_structural_generalization:study,8x8,8,2.8089287164277974,false,1890.2361247773265,0.9076214703683344,0.9076214703683344,3.357733868329629e-12,"max(m,n)*float64_epsilon*sigma_max",2082.6260577663766,2082.6260577663766,863009.6471016895,5.140148821137325,0.0005382229088776734,0.000538156774464124,2.0509465213003266,40,1.060323982896926e-16,1.7152038105313345e-16,2.7072638246496375e-16,raw_matrix_conditioning,regularized_normal_system_conditioning,ridge_filter_amplification
output_aware_structural_generalization:ieee30_structural_group_01_realization_02_seed_30202_8x8,output_aware_structural_generalization,ieee30,ieee30_structural_group_01,afa14864f94e1dc2506edf1f57f9c488765dd1feaf0d4945710a4d62f9091f5d,afa14864f94e1dc2506edf1f57f9c488765dd1feaf0d4945710a4d62f9091f5d,true,outputs/output_aware_structural_generalization/instances/ieee30_structural_group_01_realization_02_seed_30202_8x8.json,$.matrix,cfg:output_aware_structural_generalization:study,8x8,8,2.8005053527205765,false,1889.5624884075396,0.6013483669873729,0.6013483669873729,3.3565372497568895e-12,"max(m,n)*float64_epsilon*sigma_max",3142.2093949865443,3142.2093949865443,870432.5992449255,5.101919615302436,0.0005359230426541242,0.0005359008997546459,2.0367858528945506,40,8.805255247116337e-17,1.6630918816494487e-16,1.7753771352705424e-16,raw_matrix_conditioning,regularized_normal_system_conditioning,ridge_filter_amplification
output_aware_structural_generalization:ieee30_structural_group_02_realization_01_seed_30201_8x8,output_aware_structural_generalization,ieee30,ieee30_structural_group_02,b671b8863e0142383abe0068684534071bf2fe93ef85a8e0ef1bda9fe54cc005,b671b8863e0142383abe0068684534071bf2fe93ef85a8e0ef1bda9fe54cc005,true,outputs/output_aware_structural_generalization/instances/ieee30_structural_group_02_realization_01_seed_30201_8x8.json,$.matrix,cfg:output_aware_structural_generalization:study,8x8,7,2.635078573805496,true,2532.2475114892013,0.0,4.726191521206698e-15,4.498175186088107e-12,"max(m,n)*float64_epsilon*sigma_max",infinity,98.94024156941202,2250000.1442597494,3.849900910363227,0.00033333332264742646,0.0003327896201236439,1.6582630709722992,40,1.1920156087651776e-16,1.6738605399957517e-16,2.0961028135139204e-16,raw_matrix_conditioning,regularized_normal_system_conditioning,ridge_filter_amplification
output_aware_structural_generalization:ieee30_structural_group_02_realization_02_seed_30202_8x8,output_aware_structural_generalization,ieee30,ieee30_structural_group_02,3e91a757c2abd874088039c8f10f3c7f8cc99de4144aa914e61a88b14d9d94f9,3e91a757c2abd874088039c8f10f3c7f8cc99de4144aa914e61a88b14d9d94f9,true,outputs/output_aware_structural_generalization/instances/ieee30_structural_group_02_realization_02_seed_30202_8x8.json,$.matrix,cfg:output_aware_structural_generalization:study,8x8,7,2.6447865361138785,true,2527.6369532487147,0.0,6.231243872018963e-15,4.4899851894241655e-12,"max(m,n)*float64_epsilon*sigma_max",infinity,85.79692608975374,2215204.4851609827,3.884134900514229,0.00033594106393601813,0.0003355560685561462,1.6730748806063085,40,1.4973077745727924e-16,2.783117537129351e-16,3.6295072973831046e-16,raw_matrix_conditioning,regularized_normal_system_conditioning,ridge_filter_amplification
output_aware_structural_generalization:ieee30_structural_group_03_realization_01_seed_30201_8x8,output_aware_structural_generalization,ieee30,ieee30_structural_group_03,d00a776822c6b21c9aeb0c4db929405d22751dac3e0163c4d891d03c57ad78db,d00a776822c6b21c9aeb0c4db929405d22751dac3e0163c4d891d03c57ad78db,true,outputs/output_aware_structural_generalization/instances/ieee30_structural_group_03_realization_01_seed_30201_8x8.json,$.matrix,cfg:output_aware_structural_generalization:study,8x8,8,2.6202025144518584,false,1750.9384679962054,20.069631657545422,20.069631657545422,3.110291522994056e-12,"max(m,n)*float64_epsilon*sigma_max",87.24317904150068,87.24317904150068,1337716.9549371991,3.290813464137882,0.0004323026408347089,0.0004095913250733549,1.4553853943209092,40,1.2370907099871855e-16,2.0786215824830936e-16,2.894451777408066e-16,raw_matrix_conditioning,regularized_normal_system_conditioning,ridge_filter_amplification
