case,matrix_kind,matrix_shape,nnz,observable_id,observable_type,alpha,method,runtime_seconds,runtime_q1_seconds,runtime_q3_seconds,runtime_iqr_seconds,runtime_min_seconds,runtime_max_seconds,preprocessing_median_seconds,query_median_seconds,timing_repeats,solver_type,timing_scope,residual_norm,selected_functional_value,abs_difference_from_dense_reference,factorization_reused,num_observables_queried
ieee14,dense,82x27,380,state_difference_0_1,branch_angle_difference_like,0.01,dense_direct,2.0916006178595126e-05,2.083300205413252e-05,2.1041996660642326e-05,2.0899460650980473e-07,2.0749997929669917e-05,2.2332998923957348e-05,8.957998943515122e-06,1.1958502000197768e-05,30,NumPy dense solve (LAPACK),Gram/RHS formation + dense factorization/solve,0.15458494230307704,0.0030957203299520663,6.071532165918825e-18,False,3
ieee14,dense,82x27,380,area_aggregate_first_half,area_aggregate_functional,0.01,dense_direct,2.0916006178595126e-05,2.083300205413252e-05,2.1041996660642326e-05,2.0899460650980473e-07,2.0749997929669917e-05,2.2332998923957348e-05,8.957998943515122e-06,1.1958502000197768e-05,30,NumPy dense solve (LAPACK),Gram/RHS formation + dense factorization/solve,0.15458494230307704,0.00012826162964227165,3.200564813177209e-16,False,3
ieee14,sparse,82x27,380,state_correction_0,single_state_correction,0.01,sparse_factorized,0.00018114600970875472,0.00017858275168691762,0.0001834170107031241,4.834259016206488e-06,0.00017608400958124548,0.0002112910005962476,0.00017579150153324008,5.6249991757795215e-06,30,SciPy sparse SuperLU full-update solve,Sparse Gram/RHS formation + factorization + full-update solve,0.1545849423030773,0.004936027385599488,3.469446951953614e-18,True,3
ieee14,sparse,82x27,380,state_difference_0_1,branch_angle_difference_like,0.01,sparse_factorized,0.00018114600970875472,0.00017858275168691762,0.0001834170107031241,4.834259016206488e-06,0.00017608400958124548,0.0002112910005962476,0.00017579150153324008,5.6249991757795215e-06,30,SciPy sparse SuperLU full-update solve,Sparse Gram/RHS formation + factorization + full-update solve,0.1545849423030773,0.003095720329952066,6.5052130349130266e-18,True,3
ieee14,sparse,82x27,380,area_aggregate_first_half,area_aggregate_functional,0.01,sparse_factorized,0.00018114600970875472,0.00017858275168691762,0.0001834170107031241,4.834259016206488e-06,0.00017608400958124548,0.0002112910005962476,0.00017579150153324008,5.6249991757795215e-06,30,SciPy sparse SuperLU full-update solve,Sparse Gram/RHS formation + factorization + full-update solve,0.1545849423030773,0.00012826162964207737,5.143455106271233e-16,True,3
ieee14,sparse,82x27,380,state_correction_0,single_state_correction,0.01,adjoint_functional,0.00018418699619360268,0.00018161500702262856,0.0001910829851112794,9.467978088650852e-06,0.00017987500177696347,0.00036662499769590795,0.00017693750123726204,7.290997018571943e-06,30,SciPy sparse SuperLU adjoint solve,Shared sparse Gram/RHS/factorization + one functional solve,,0.004936027385599506,1.474514954580286e-17,True,3
ieee14,sparse,82x27,380,state_difference_0_1,branch_angle_difference_like,0.01,adjoint_functional,0.00018293750326847658,0.0001804692583391443,0.00018966649076901376,9.197232429869473e-06,0.00017866700363811105,0.0003555000002961606,0.00017693750123726204,6.041496817488223e-06,30,SciPy sparse SuperLU adjoint solve,Shared sparse Gram/RHS/factorization + one functional solve,,0.0030957203299520897,1.734723475976807e-17,True,3
ieee14,sparse,82x27,380,area_aggregate_first_half,area_aggregate_functional,0.01,adjoint_functional,0.00018287499551661313,0.00018035449829767458,0.00018936498599941842,9.010487701743841e-06,0.00017850000585895032,0.0003545829968061298,0.00017693750123726204,5.875001079402864e-06,30,SciPy sparse SuperLU adjoint solve,Shared sparse Gram/RHS/factorization + one functional solve,,0.00012826162964341137,8.196568423990414e-16,True,3
ieee30,dense,172x59,796,state_correction_0,single_state_correction,0.01,dense_direct,4.704200546257198e-05,4.684425221057609e-05,4.761449963552877e-05,7.702474249526858e-07,4.6666013076901436e-05,4.937499761581421e-05,2.108299668179825e-05,2.6021007215604186e-05,30,NumPy dense solve (LAPACK),Gram/RHS formation + dense factorization/solve,0.3502267709493184,0.004957199037131259,2.168404344971009e-17,False,3
ieee30,dense,172x59,796,state_difference_0_1,branch_angle_difference_like,0.01,dense_direct,4.704200546257198e-05,4.684425221057609e-05,4.761449963552877e-05,7.702474249526858e-07,4.6666013076901436e-05,4.937499761581421e-05,2.108299668179825e-05,2.6021007215604186e-05,30,NumPy dense solve (LAPACK),Gram/RHS formation + dense factorization/solve,0.3502267709493184,0.0031147147863637053,7.112366251504909e-17,False,3
