seed,dim,rows,cols,rank,spectral_family,condition_number,sv_assignment_matches_svd,is_complex,target,degree,component,tolerance,best_imag_rel,best_real_rel,full_block_rel,degenerate_zero_reference,status
770105,3x2,3,2,2,clustered_singular_values,1.0140845070422535,False,True,ridge_filter_d7,7,imag,1e-08,1.6251141733756782,1.5723270878597666,1.8300000319641787,False,complex_unsupported
770105,3x2,3,2,2,clustered_singular_values,1.0140845070422535,False,True,ridge_filter_d31,31,imag,1e-08,0.5418535958520121,0.6670917659951808,0.6405134945364425,False,complex_unsupported
770105,3x2,3,2,2,clustered_singular_values,1.0140845070422535,False,True,ridge_filter_d255,255,imag,1e-06,0.8999373696123969,1.2994171355843094,1.37688361400447,False,complex_unsupported
770106,3x2,3,2,2,random_decay,1.0625722974709928,True,True,monomial_x1,1,neg_imag,1e-08,0.9810392350624803,0.9351431822756867,0.9104663707778741,False,complex_unsupported
770106,3x2,3,2,2,random_decay,1.0625722974709928,True,True,monomial_x3,3,imag,1e-08,0.5903641194884149,1.3486729150692827,1.2992949261559255,False,complex_unsupported
770106,3x2,3,2,2,random_decay,1.0625722974709928,True,True,ridge_filter_d7,7,imag,1e-08,0.9103424821441101,1.6552409628974734,1.7829784646026148,False,complex_unsupported
770106,3x2,3,2,2,random_decay,1.0625722974709928,True,True,ridge_filter_d31,31,imag,1e-08,0.6334593059197277,0.7045405571716314,0.9081666660291059,False,complex_unsupported
770106,3x2,3,2,2,random_decay,1.0625722974709928,True,True,ridge_filter_d255,255,imag,1e-06,1.2910488041777926,1.6980765051977615,2.0591013938413516,False,complex_unsupported
770200,4x3,4,3,3,well_conditioned,1.1111111111111105,False,True,monomial_x1,1,neg_imag,1e-08,0.6456353336146256,0.5781661498888357,0.5060896725178023,False,complex_unsupported
770200,4x3,4,3,3,well_conditioned,1.1111111111111105,False,True,monomial_x3,3,imag,1e-08,0.3351108836287166,0.5122374520262535,0.5430452138622889,False,complex_unsupported
770200,4x3,4,3,3,well_conditioned,1.1111111111111105,False,True,ridge_filter_d7,7,imag,1e-08,0.6167698108635629,1.2894332972987372,1.3545736808883588,False,complex_unsupported
770200,4x3,4,3,3,well_conditioned,1.1111111111111105,False,True,ridge_filter_d31,31,imag,1e-08,1.5582217457338328,1.7377114956572914,2.1159780245208113,False,complex_unsupported
770200,4x3,4,3,3,well_conditioned,1.1111111111111105,False,True,ridge_filter_d255,255,imag,1e-06,1.3506202946390458,1.4651206283826796,1.468567260224646,False,complex_unsupported
770201,4x3,4,3,3,moderate_condition,3.3333333333333326,False,True,monomial_x1,1,neg_imag,1e-08,1.0161712929113924,0.6832838114827224,0.74549168228208,False,complex_unsupported
770201,4x3,4,3,3,moderate_condition,3.3333333333333326,False,True,monomial_x3,3,imag,1e-08,0.5432955536049036,0.7729207605775797,0.9403523106853537,False,complex_unsupported
770201,4x3,4,3,3,moderate_condition,3.3333333333333326,False,True,ridge_filter_d7,7,imag,1e-08,0.43743476958171273,0.9061954314246532,0.9765055268906846,False,complex_unsupported
770201,4x3,4,3,3,moderate_condition,3.3333333333333326,False,True,ridge_filter_d31,31,imag,1e-08,0.9053982339109712,0.8619232656869854,0.8504099135469478,False,complex_unsupported
770201,4x3,4,3,3,moderate_condition,3.3333333333333326,False,True,ridge_filter_d255,255,imag,1e-06,0.7087112123491192,0.9919174626251958,1.1304285041705762,False,complex_unsupported
770202,4x3,4,3,3,nearly_rank_deficient,3333.3333333327246,False,True,monomial_x1,1,neg_imag,1e-08,1.2334315914972114,0.6140257783779463,0.9831460176518723,False,complex_unsupported
770202,4x3,4,3,3,nearly_rank_deficient,3333.3333333327246,False,True,monomial_x3,3,imag,1e-08,0.6082001893135922,1.2238182058586982,1.1682483121616272,False,complex_unsupported
770202,4x3,4,3,3,nearly_rank_deficient,3333.3333333327246,False,True,ridge_filter_d7,7,imag,1e-08,1.346621890872937,2.438278049329756,2.538796429217312,False,complex_unsupported
770202,4x3,4,3,3,nearly_rank_deficient,3333.3333333327246,False,True,ridge_filter_d31,31,imag,1e-08,1.1222253743279105,1.2166164288907308,1.6143890457523398,False,complex_unsupported
770202,4x3,4,3,3,nearly_rank_deficient,3333.3333333327246,False,True,ridge_filter_d255,255,imag,1e-06,1.960668238769942,1.334861739036507,1.9707664868584156,False,complex_unsupported
770203,4x3,4,3,3,exact_zero_singular_values,inf,True,True,monomial_x1,1,neg_imag,1e-08,0.7694135555152583,0.7519159776484242,0.7596340348936006,False,complex_unsupported
770203,4x3,4,3,3,exact_zero_singular_values,inf,True,True,monomial_x3,3,imag,1e-08,0.6078164721661548,0.8759997206975118,0.8964306761153572,False,complex_unsupported
770203,4x3,4,3,3,exact_zero_singular_values,inf,True,True,ridge_filter_d7,7,imag,1e-08,1.4727503285469115,1.6698616105090098,2.0490179616798456,False,complex_unsupported
770203,4x3,4,3,3,exact_zero_singular_values,inf,True,True,ridge_filter_d31,31,imag,1e-08,2.063882621281868,1.0985029582710115,1.7311533273297826,False,complex_unsupported
770203,4x3,4,3,3,exact_zero_singular_values,inf,True,True,ridge_filter_d255,255,imag,1e-06,1.8392578466536578,1.0176650119674422,1.480510696026167,False,complex_unsupported
770204,4x3,4,3,3,repeated_singular_values,1.0000000000000007,True,True,monomial_x1,1,neg_imag,1e-08,0.8614036827114457,0.6335863938470285,0.6499972568274865,False,complex_unsupported
770204,4x3,4,3,3,repeated_singular_values,1.0000000000000007,True,True,monomial_x3,3,imag,1e-08,0.9148786269379463,1.6109653854745247,1.737755881700903,False,complex_unsupported
770204,4x3,4,3,3,repeated_singular_values,1.0000000000000007,True,True,ridge_filter_d7,7,imag,1e-08,1.7258129570477982,1.9781674519365537,2.0030573577486126,False,complex_unsupported
770204,4x3,4,3,3,repeated_singular_values,1.0000000000000007,True,True,ridge_filter_d31,31,imag,1e-08,0.9437759068090498,0.9363160748941699,0.9230164962398649,False,complex_unsupported
770204,4x3,4,3,3,repeated_singular_values,1.0000000000000007,True,True,ridge_filter_d255,255,imag,1e-06,0.32353410254464904,0.6312995232916311,0.6409448912514165,False,complex_unsupported
770205,4x3,4,3,3,clustered_singular_values,1.028169014084507,False,True,monomial_x1,1,neg_imag,1e-08,0.9936564805307176,0.5879409933642973,0.7030075256124024,False,complex_unsupported
770205,4x3,4,3,3,clustered_singular_values,1.028169014084507,False,True,monomial_x3,3,imag,1e-08,1.1163822613416121,1.6888837718564345,1.7448186722641488,False,complex_unsupported
770205,4x3,4,3,3,clustered_singular_values,1.028169014084507,False,True,ridge_filter_d7,7,imag,1e-08,1.3387140380435587,0.910682575692079,1.0154124803824658,False,complex_unsupported
770205,4x3,4,3,3,clustered_singular_values,1.028169014084507,False,True,ridge_filter_d31,31,imag,1e-08,0.8151168504018241,0.8127051109401504,0.8114216539031809,False,complex_unsupported
770205,4x3,4,3,3,clustered_singular_values,1.028169014084507,False,True,ridge_filter_d255,255,imag,1e-06,1.1246930495434895,1.6144443205381713,1.6515550082264805,False,complex_unsupported
770206,4x3,4,3,3,random_decay,2.1198232542875135,True,True,monomial_x1,1,neg_imag,1e-08,1.083622216582165,0.4657246679666188,0.79569067284044,False,complex_unsupported
770206,4x3,4,3,3,random_decay,2.1198232542875135,True,True,monomial_x3,3,imag,1e-08,1.3481151488334786,3.090541403507758,3.1078764155545584,False,complex_unsupported
770206,4x3,4,3,3,random_decay,2.1198232542875135,True,True,ridge_filter_d7,7,imag,1e-08,0.39904439723346,0.6056655487982415,0.7283650313582177,False,complex_unsupported
770206,4x3,4,3,3,random_decay,2.1198232542875135,True,True,ridge_filter_d31,31,imag,1e-08,0.6088129235820144,0.5443634984918049,0.568686282781098,False,complex_unsupported
770206,4x3,4,3,3,random_decay,2.1198232542875135,True,True,ridge_filter_d255,255,imag,1e-06,0.5927587260700915,0.6930735905710681,0.7760839814546959,False,complex_unsupported
770300,5x3,5,3,3,well_conditioned,1.1111111111111116,False,True,monomial_x1,1,neg_imag,1e-08,0.6020868253003222,0.566337251432004,0.5208401971767623,False,complex_unsupported
770300,5x3,5,3,3,well_conditioned,1.1111111111111116,False,True,monomial_x3,3,imag,1e-08,0.37857922651639797,0.6147893281451416,0.6224662246049674,False,complex_unsupported
770300,5x3,5,3,3,well_conditioned,1.1111111111111116,False,True,ridge_filter_d7,7,imag,1e-08,0.7960301325724003,0.7688901947747689,1.2807105279921447,False,complex_unsupported
770300,5x3,5,3,3,well_conditioned,1.1111111111111116,False,True,ridge_filter_d31,31,imag,1e-08,2.15534135516207,1.2101337821624627,2.1368109115101492,False,complex_unsupported
