shots,backend_seed,backend,mu_exact,mu_shot,y_shot,y_statevector,y_ridge,ci_low,ci_high,ci_half_width,relative_ci_half_width,theoretical_se_y,execution_time_s,ci_contains_statevector,ci_contains_ridge,transpiler_seed,n_seeds,total_shots,aggregate_y_estimate,aggregate_y_std,empirical_variance,theoretical_variance_per_shot,aggregate_relative_ci_half_width,meets_precision_target,_row_type
100000,770303.0,aer:AerSimulator,0.19948104827497692,0.19623999999999997,0.004856687956352376,0.004936899738471392,0.004938350292269935,0.004706376791217549,0.005006999121487203,0.0001503111651348268,0.030949314941723836,7.668936996674837e-05,0.06954404199495912,True,True,770303.0,,,,,,,,,
100000,770304.0,aer:AerSimulator,0.19948104827497692,0.19218000000000002,0.004756208170871381,0.004936899738471392,0.004938350292269935,0.004605897005736554,0.004906519336006208,0.0001503111651348268,0.03160315102593342,7.668936996674837e-05,0.06874916702508926,False,False,770304.0,,,,,,,,,
100000,770305.0,aer:AerSimulator,0.19948104827497692,0.2057,0.005090810806266224,0.004936899738471392,0.004938350292269935,0.004940499641131397,0.005241121971401051,0.0001503111651348268,0.02952597746312049,7.668936996674837e-05,0.06900441698962823,False,False,770305.0,,,,,,,,,
100000,,,,,,0.004936899738471392,0.004938350292269935,,,,,,,,,,6.0,600000.0,0.004905937900467445,0.00013926320217710206,1.9394239480620406e-08,5.8812594658968065e-09,0.03063861960431764,True,aggregate
1000000,770300.0,aer:AerSimulator,0.19948104827497692,0.19965999999999995,0.004941328563826515,0.004936899738471392,0.004938350292269935,0.004893795999868541,0.004988861127784489,4.753256395797429e-05,0.009619389470666075,2.425130814182362e-05,0.15921366604743525,True,True,770300.0,,,,,,,,,
1000000,770301.0,aer:AerSimulator,0.19948104827497692,0.19962400000000002,0.0049404376100636305,0.004936899738471392,0.004938350292269935,0.004892905046105656,0.004987970174021605,4.753256395797429e-05,0.009621124222103494,2.425130814182362e-05,0.15676829201402143,True,True,770301.0,,,,,,,,,
1000000,770302.0,aer:AerSimulator,0.19948104827497692,0.199314,0.004932765508216559,0.004936899738471392,0.004938350292269935,0.004885232944258584,0.004980298072174533,4.753256395797429e-05,0.009636088291405462,2.425130814182362e-05,0.15414312499342486,True,True,770302.0,,,,,,,,,
1000000,770303.0,aer:AerSimulator,0.19948104827497692,0.20068599999999992,0.004966720746068755,0.004936899738471392,0.004938350292269935,0.004919188182110781,0.00501425331002673,4.753256395797429e-05,0.009570210685913263,2.425130814182362e-05,0.15236516704317182,True,True,770303.0,,,,,,,,,
1000000,770304.0,aer:AerSimulator,0.19948104827497692,0.1973259999999999,0.004883565061532758,0.004936899738471392,0.004938350292269935,0.004836032497574784,0.004931097625490733,4.753256395797429e-05,0.00973316897779912,2.425130814182362e-05,0.15922820899868384,False,False,770304.0,,,,,,,,,
1000000,770305.0,aer:AerSimulator,0.19948104827497692,0.1979280000000001,0.004898463788345463,0.004936899738471392,0.004938350292269935,0.004850931224387489,0.0049459963523034375,4.753256395797429e-05,0.009703565446592635,2.425130814182362e-05,0.15503566700499505,True,True,770305.0,,,,,,,,,
1000000,,,,,,0.004936899738471392,0.004938350292269935,,,,,,,,,,6.0,6000000.0,0.00492721354634228,3.065123652256213e-05,9.394983003620468e-10,5.881259465896807e-10,0.009646946191983117,True,aggregate
