seed,dim,rows,cols,rank,spectral_family,condition_number,sv_assignment_matches_svd,is_complex,target,degree,component,tolerance,convention_error_vs_encoded,end_to_end_error_vs_target,status
770201,4x3,4,3,3,moderate_condition,3.333333333333335,False,False,monomial_x1,1,neg_imag,1e-08,5.416438152540253e-16,9.325301019288854e-14,pass
770201,4x3,4,3,3,moderate_condition,3.333333333333335,False,False,monomial_x3,3,imag,1e-08,6.956449024851958e-16,1.0563100288504487e-13,pass
770201,4x3,4,3,3,moderate_condition,3.333333333333335,False,False,ridge_filter_d7,7,imag,1e-08,1.0732425834974424e-15,7.50426347467529e-07,pass
770201,4x3,4,3,3,moderate_condition,3.333333333333335,False,False,ridge_filter_d31,31,imag,1e-08,9.301878178335255e-16,8.069529218106634e-08,pass
770201,4x3,4,3,3,moderate_condition,3.333333333333335,False,False,ridge_filter_d255,255,imag,1e-06,9.242797880492866e-15,3.118801771034173e-08,pass
770202,4x3,4,3,3,nearly_rank_deficient,3333.333333333465,False,False,monomial_x1,1,neg_imag,1e-08,1.86171875643971e-16,6.851125023697189e-14,pass
770202,4x3,4,3,3,nearly_rank_deficient,3333.333333333465,False,False,monomial_x3,3,imag,1e-08,2.6764640108505404e-16,7.108688412818031e-14,pass
770202,4x3,4,3,3,nearly_rank_deficient,3333.333333333465,False,False,ridge_filter_d7,7,imag,1e-08,5.733033928008e-16,3.216339840565197e-07,pass
770202,4x3,4,3,3,nearly_rank_deficient,3333.333333333465,False,False,ridge_filter_d31,31,imag,1e-08,1.0371960081254258e-15,1.07582001429394e-08,pass
770202,4x3,4,3,3,nearly_rank_deficient,3333.333333333465,False,False,ridge_filter_d255,255,imag,1e-06,4.934417474231453e-15,9.949935347832489e-09,pass
770203,4x3,4,3,3,exact_zero_singular_values,inf,True,False,monomial_x1,1,neg_imag,1e-08,1.5916777461694373e-16,7.912912223812686e-14,pass
770203,4x3,4,3,3,exact_zero_singular_values,inf,True,False,monomial_x3,3,imag,1e-08,2.1003298688794063e-16,7.792223813541491e-14,pass
770203,4x3,4,3,3,exact_zero_singular_values,inf,True,False,ridge_filter_d7,7,imag,1e-08,1.8990139047112384e-16,4.825979735610795e-08,pass
770203,4x3,4,3,3,exact_zero_singular_values,inf,True,False,ridge_filter_d31,31,imag,1e-08,3.737573426879806e-15,4.3705858429622806e-09,pass
770203,4x3,4,3,3,exact_zero_singular_values,inf,True,False,ridge_filter_d255,255,imag,1e-06,3.0511661287303184e-14,2.023763151065098e-09,pass
770204,4x3,4,3,3,repeated_singular_values,1.0000000000000007,True,False,monomial_x1,1,neg_imag,1e-08,3.66278606930253e-16,7.133275869965696e-14,pass
770204,4x3,4,3,3,repeated_singular_values,1.0000000000000007,True,False,monomial_x3,3,imag,1e-08,7.475073610821719e-16,8.699116914592315e-14,pass
770204,4x3,4,3,3,repeated_singular_values,1.0000000000000007,True,False,ridge_filter_d7,7,imag,1e-08,1.2393398018350078e-15,2.0040899207028066e-07,pass
770204,4x3,4,3,3,repeated_singular_values,1.0000000000000007,True,False,ridge_filter_d31,31,imag,1e-08,3.085483265706298e-15,4.967109452997492e-09,pass
770204,4x3,4,3,3,repeated_singular_values,1.0000000000000007,True,False,ridge_filter_d255,255,imag,1e-06,2.335024995927354e-14,2.4282981530478684e-09,pass
770205,4x3,4,3,3,clustered_singular_values,1.028169014084507,False,False,monomial_x1,1,neg_imag,1e-08,2.2255081608985324e-16,7.201744408666659e-14,pass
770205,4x3,4,3,3,clustered_singular_values,1.028169014084507,False,False,monomial_x3,3,imag,1e-08,4.289173014695821e-16,8.621237759537183e-14,pass
770205,4x3,4,3,3,clustered_singular_values,1.028169014084507,False,False,ridge_filter_d7,7,imag,1e-08,1.2593258571799462e-15,1.1026880102985471e-07,pass
770205,4x3,4,3,3,clustered_singular_values,1.028169014084507,False,False,ridge_filter_d31,31,imag,1e-08,3.06095780398285e-15,6.188458490792195e-09,pass
770205,4x3,4,3,3,clustered_singular_values,1.028169014084507,False,False,ridge_filter_d255,255,imag,1e-06,2.0319750133560708e-14,2.009471584940324e-09,pass
770206,4x3,4,3,3,random_decay,2.21179121370967,True,False,monomial_x1,1,neg_imag,1e-08,3.5538063424265537e-16,8.15006254529711e-14,pass
