arm,case_name,scenario,seed,iterations,converged,failed,classification,final_state_rmse,final_angle_rmse,final_voltage_rmse,final_max_state_error,final_selected_coordinate_rmse,final_frozen_coordinate_rmse,final_state_vector_json,final_weighted_residual,final_selected_output_error,final_step_norm,functional_queries,unique_functional_circuits,physical_circuit_executions,sampling_calls,readout_signal_attempted_shots,diagnostic_attempted_shots,total_attempted_shots,interference_accepted_shots,postselection_accepted_shots,total_circuit_queries,total_accepted_shots,failure_code,failure_stage,runtime_seconds
sparse_exact_ridge,ieee14,gaussian_noise_baseline,303,8,False,False,closed_loop_stalled,0.006113002005851504,0.0046073730944785314,0.00482478946766166,0.009614476404682604,0.0004982320806680165,0.005111240365453798,"[-0.09075781823660167,-0.2242376574128707,-0.17990206514305265,-0.15258958065765782,-0.25157162015592677,-0.22522921095872322,-0.23841849814502653,-0.26580192652661605,-0.2701312700202127,-0.2561256191276267,-0.2688434666557434,-0.2592570196447976,-0.28388483194003206,1.0637114469589297,1.0546144764046825,1.0061031325765633,1.0192520325533876,1.0194049825181009,1.073192613387489,1.0617215880649216,1.090034679505508,1.0618987059616576,1.042823503380189,1.0568523524671531,1.0641591106948132,1.047147033455737,1.035664859759392]",25.04375744702085,0.0003904465879615887,0.0005723996775023151,0,0,0,0,0,0,0,0,0,0,0,,,0.3604291658848524
sparse_quantized_ridge,ieee14,gaussian_noise_baseline,303,8,False,False,closed_loop_stalled,0.006112836232394352,0.0046071774738862155,0.00482472129858962,0.009614476404682604,0.0004899740871162408,0.005111240365453798,"[-0.09075781823660167,-0.2242376574128707,-0.17991080062027368,-0.15260254028769346,-0.25157162015592677,-0.22522921095872322,-0.23841849814502653,-0.26580192652661605,-0.2701312700202127,-0.2561256191276267,-0.2688434666557434,-0.2592570196447976,-0.28388483194003206,1.0637114469589297,1.0546144764046825,1.0061031325765633,1.0192624034811304,1.019417332470358,1.073192613387489,1.0617215880649216,1.090034679505508,1.0618987059616576,1.042823503380189,1.0568523524671531,1.0641591106948132,1.047147033455737,1.035664859759392]",25.038938255362485,0.00038171111074056035,0.0005725862010819817,0,0,0,0,0,0,0,0,0,0,0,,,0.3568079578690231
sparse_exact_polynomial,ieee14,gaussian_noise_baseline,303,8,False,False,closed_loop_stalled,0.0061128366926655716,0.0046071772384705355,0.004824722178213151,0.009614476404682604,0.0004899972078544457,0.005111240365453798,"[-0.09075781823660167,-0.2242376574128707,-0.17991081803088924,-0.15260255198300518,-0.25157162015592677,-0.22522921095872322,-0.23841849814502653,-0.26580192652661605,-0.2701312700202127,-0.2561256191276267,-0.2688434666557434,-0.2592570196447976,-0.28388483194003206,1.0637114469589297,1.0546144764046825,1.0061031325765633,1.019262283155393,1.019417176344259,1.073192613387489,1.0617215880649216,1.090034679505508,1.0618987059616576,1.042823503380189,1.0568523524671531,1.0641591106948132,1.047147033455737,1.035664859759392]",25.038985657392253,0.00038169370012501006,0.000572582339749782,0,0,0,0,0,0,0,0,0,0,0,,,0.4120619159657508
sparse_qsvt_statevector_closed_loop,ieee14,gaussian_noise_baseline,303,8,False,False,closed_loop_stalled,0.006112836692626638,0.0046071772385410815,0.0048247221780938505,0.009614476404682604,0.0004899972058987777,0.005111240365453798,"[-0.09075781823660167,-0.2242376574128707,-0.1799108180267118,-0.15260255197887762,-0.25157162015592677,-0.22522921095872322,-0.23841849814502653,-0.26580192652661605,-0.2701312700202127,-0.2561256191276267,-0.2688434666557434,-0.2592570196447976,-0.28388483194003206,1.0637114469589297,1.0546144764046825,1.0061031325765633,1.0192622831716749,1.0194171763654125,1.073192613387489,1.0617215880649216,1.090034679505508,1.0618987059616576,1.042823503380189,1.0568523524671531,1.0641591106948132,1.047147033455737,1.035664859759392]",25.03898565116922,0.00038169370430243875,0.0005725823402477631,0,0,8,0,0,0,0,0,0,8,0,,,0.6763671250082552
sparse_qsvt_finite_shot_closed_loop,ieee14,gaussian_noise_baseline,303,8,False,False,closed_loop_stalled,0.006112982077478417,0.004607234796900536,0.004824883049791923,0.009614476404682604,0.0004972465907822122,0.005111240365453798,"[-0.09075781823660167,-0.2242376574128707,-0.17990739226292646,-0.1525992126446126,-0.25157162015592677,-0.22522921095872322,-0.23841849814502653,-0.26580192652661605,-0.2701312700202127,-0.2561256191276267,-0.2688434666557434,-0.2592570196447976,-0.28388483194003206,1.0637114469589297,1.0546144764046825,1.0061031325765633,1.0192419132422166,1.019390338855002,1.073192613387489,1.0617215880649216,1.090034679505508,1.0618987059616576,1.042823503380189,1.0568523524671531,1.0641591106948132,1.047147033455737,1.035664859759392]",25.047347052694416,0.00038511946808777683,0.0005751886208789111,32,32,64,64,3200000,3200000,6400000,2367820,1536058,64,2367820,,,22.00025300006382
full_system_exact_ridge,ieee14,random_missing_measurement_stress,101,4,True,False,closed_loop_converged_accurate,0.0006883688178120392,0.00041712955578820964,0.0006193260028565582,0.001393494292782016,0.00036947702126456156,0.0005550485507352803,"[-0.0868732125046903,-0.2221837209597817,-0.18035366191842084,-0.1533226667760973,-0.24805960680382988,-0.23297348910734775,-0.23259036126554253,-0.2604457473412166,-0.26309836715778084,-0.2574533445554594,-0.26261219592959406,-0.26448107595613646,-0.28083430246595936,1.0604945713551988,1.0454911512222596,1.0105492475534243,1.0195498378363896,1.0204828489660478,1.0698756924420403,1.0626278285805337,1.090509750643574,1.0567776404310099,1.0515979521836103,1.0574116463873526,1.0544819159912788,1.0498115606852896,1.037393494292782]",0.8146504470969052,,9.13840681324172e-11,0,0,0,0,0,0,0,0,0,0,0,,,0.04196800012141466
block_full_support_ridge,ieee14,random_missing_measurement_stress,101,8,False,False,closed_loop_stalled,0.005932041767552264,0.005280801525776797,0.003819383872018441,0.010173127409159377,0.0009599760152375403,0.004947861770400394,"[-0.09086815924913269,-0.2321790082628381,-0.18162117957585594,-0.15392333823068707,-0.24973425363292504,-0.23151391412691416,-0.22462401660905418,-0.2554482010476237,-0.2600065219471134,-0.2546954494274341,-0.26733895554430726,-0.25977183094397255,-0.2881931260982648,1.0583395409361567,1.0428135307953295,1.00135740647077,1.017847495115521,1.019645720995805,1.0682993633118745,1.0559619832987033,1.089544731407468,1.060269621582505,1.0519660905782517,1.056986671417684,1.0479538887079618,1.0525050787122772,1.0384286554339186]",12.037530841134975,0.0013286678448417067,0.0007183508384036954,0,0,0,0,0,0,0,0,0,0,0,,,0.39155375002883375
sparse_exact_ridge,ieee14,random_missing_measurement_stress,101,8,False,False,closed_loop_stalled,0.005945373552063268,0.005306350909504371,0.0038103394103324775,0.010173127409159377,0.0012486552068794103,0.004947861770400394,"[-0.09086815924913269,-0.2321790082628381,-0.18216517917022132,-0.15473723567804296,-0.24973425363292504,-0.23151391412691416,-0.22462401660905418,-0.2554482010476237,-0.2600065219471134,-0.2546954494274341,-0.26733895554430726,-0.25977183094397255,-0.2881931260982648,1.0583395409361567,1.0428135307953295,1.00135740647077,1.0185458837301358,1.0205305329173404,1.0682993633118745,1.0559619832987033,1.089544731407468,1.060269621582505,1.0519660905782517,1.056986671417684,1.0479538887079618,1.0525050787122772,1.0384286554339186]",12.138564845230242,0.00187266743920707,0.0007351899659546662,0,0,0,0,0,0,0,0,0,0,0,,,0.3815882080234587
sparse_quantized_ridge,ieee14,random_missing_measurement_stress,101,8,False,False,closed_loop_stalled,0.005945948236474277,0.005307137769195637,0.0038103534458254168,0.010173127409159377,0.0012596253400043098,0.004947861770400394,"[-0.09086815924913269,-0.2321790082628381,-0.1821778627906369,-0.15475743630350502,-0.24973425363292504,-0.23151391412691416,-0.22462401660905418,-0.2554482010476237,-0.2600065219471134,-0.2546954494274341,-0.26733895554430726,-0.25977183094397255,-0.2881931260982648,1.0583395409361567,1.0428135307953295,1.00135740647077,1.0185548143043013,1.0205394385060536,1.0682993633118745,1.0559619832987033,1.089544731407468,1.060269621582505,1.0519660905782517,1.056986671417684,1.0479538887079618,1.0525050787122772,1.0384286554339186]",12.138453658250352,0.0018853510596226648,0.0007356507901023794,0,0,0,0,0,0,0,0,0,0,0,,,0.38922562496736646
sparse_exact_polynomial,ieee14,random_missing_measurement_stress,101,8,False,False,closed_loop_stalled,0.005945946500768455,0.0053071349143533,0.0038103540221233706,0.010173127409159377,0.001259592349425207,0.004947861770400394,"[-0.09086815924913269,-0.2321790082628381,-0.18217780679006884,-0.15475737608310713,-0.24973425363292504,-0.23151391412691416,-0.22462401660905418,-0.2554482010476237,-0.2600065219471134,-0.2546954494274341,-0.26733895554430726,-0.25977183094397255,-0.2881931260982648,1.0583395409361567,1.0428135307953295,1.00135740647077,1.0185549306499606,1.0205395914790814,1.0682993633118745,1.0559619832987033,1.089544731407468,1.060269621582505,1.0519660905782517,1.056986671417684,1.0479538887079618,1.0525050787122772,1.0384286554339186]",12.138514885513972,0.0018852950590545912,0.0007356479239375997,0,0,0,0,0,0,0,0,0,0,0,,,0.37589370901696384
sparse_qsvt_statevector_closed_loop,ieee14,random_missing_measurement_stress,101,8,False,False,closed_loop_stalled,0.005945946501217822,0.005307134915040275,0.003810354022041593,0.010173127409159377,0.0012595923579664426,0.004947861770400394,"[-0.09086815924913269,-0.2321790082628381,-0.1821778068029201,-0.15475737609837462,-0.24973425363292504,-0.23151391412691416,-0.22462401660905418,-0.2554482010476237,-0.2600065219471134,-0.2546954494274341,-0.26733895554430726,-0.25977183094397255,-0.2881931260982648,1.0583395409361567,1.0428135307953295,1.00135740647077,1.018554930634121,1.0205395914579318,1.0682993633118745,1.0559619832987033,1.089544731407468,1.060269621582505,1.0519660905782517,1.056986671417684,1.0479538887079618,1.0525050787122772,1.0384286554339186]",12.138514875929259,0.0018852950719058614,0.0007356479243975825,0,0,8,0,0,0,0,0,0,8,0,,,0.6888365419581532
sparse_qsvt_finite_shot_closed_loop,ieee14,random_missing_measurement_stress,101,8,False,False,closed_loop_stalled,0.005946118838573386,0.00530745411339663,0.0038102505655006123,0.010173127409159377,0.0012628638174151036,0.004947861770400394,"[-0.09086815924913269,-0.2321790082628381,-0.18218508175523018,-0.15476282353165133,-0.24973425363292504,-0.23151391412691416,-0.22462401660905418,-0.2554482010476237,-0.2600065219471134,-0.2546954494274341,-0.26733895554430726,-0.25977183094397255,-0.2881931260982648,1.0583395409361567,1.0428135307953295,1.00135740647077,1.0185411491282428,1.0205173624840798,1.0682993633118745,1.0559619832987033,1.089544731407468,1.060269621582505,1.0519660905782517,1.056986671417684,1.0479538887079618,1.0525050787122772,1.0384286554339186]",12.130316708389097,0.0018925700242159414,0.000735487050773551,32,32,64,64,3200000,3200000,6400000,2289846,1373963,64,2289846,,,25.229579583974555
full_system_exact_ridge,ieee14,random_missing_measurement_stress,202,4,True,False,closed_loop_converged_accurate,0.000743928983262488,0.0005129058993954654,0.0006264196704488936,0.001561755915096219,0.00014658457127687572,0.000619523530256685,"[-0.0869528243277631,-0.2220513753808705,-0.18047754231625288,-0.15343351788157886,-0.24867127986768553,-0.23332511842745815,-0.23283405921836767,-0.2609491985720149,-0.2638125435577529,-0.25867368459256035,-0.26393735012543607,-0.26539287985172677,-0.2810039249761339,1.0598357528754314,1.0448248983077482,1.009865655215896,1.0189067207265652,1.0199045963297109,1.0702719862820633,1.0614584934941522,1.0893181343172789,1.0555604979384225,1.0507672010811162,1.057533063963215,1.0562279987824599,1.050299014290862,1.0344382440849038]",0.8224462000318659,,2.1734713860150255e-10,0,0,0,0,0,0,0,0,0,0,0,,,0.04074170789681375
block_full_support_ridge,ieee14,random_missing_measurement_stress,202,8,False,False,closed_loop_stalled,0.006000020951489311,0.005303561104315231,0.00391115779307035,0.009058601769076552,0.0021962570610636837,0.004936672346361995,"[-0.07785879498024106,-0.22565114865022853,-0.18572064416209844,-0.15697351962077707,-0.253948781734858,-0.22580939800187028,-0.22877648619072577,-0.25756402469375744,-0.25649536106655657,-0.26114088208746533,-0.2695917659193668,-0.262856559306115,-0.27840438550360264,1.0557223886531655,1.0471592497651487,1.0173603751811715,1.0191029540511238,1.019174549867673,1.0717212167170116,1.0644290933502947,1.0951145231283603,1.0589424064896973,1.0579982984504226,1.0529486965467918,1.0526394189769475,1.0540985826032043,1.0337878476456852]",20.70141623838231,0.0037336112956749654,7.674805722242662e-05,0,0,0,0,0,0,0,0,0,0,0,,,1.5035865001846105
sparse_exact_ridge,ieee14,random_missing_measurement_stress,202,8,False,False,closed_loop_stalled,0.006013942298623936,0.005302234635606933,0.003937337782395508,0.009058601769076552,0.0023445640537307225,0.004936672346361995,"[-0.07785879498024106,-0.22565114865022853,-0.18572064416209844,-0.15694894674184962,-0.253948781734858,-0.22580939800187028,-0.22877648619072577,-0.25756402469375744,-0.25649536106655657,-0.26114088208746533,-0.2695917659193668,-0.262856559306115,-0.27840438550360264,1.0557223886531655,1.047679239194321,1.0173603751811715,1.018874570487498,1.0189817165383435,1.0717212167170116,1.0644290933502947,1.0951145231283603,1.0589424064896973,1.0579982984504226,1.0529486965467918,1.0526394189769475,1.0540985826032043,1.0337878476456852]",21.009957246038358,0.0037090384167475033,5.547773319162253e-05,0,0,0,0,0,0,0,0,0,0,0,,,1.4478738338220865
